Category: All categories

Month,Dolan: (United States)
2013-08,17
2013-09,18
2013-10,16
2013-11,19
2013-12,18
2014-01,18
2014-02,17
2014-03,22
2014-04,19
2014-05,18
2014-06,18
2014-07,18
2014-08,16
2014-09,20
2014-10,18
2014-11,19
2014-12,20
2015-01,21
2015-02,27
2015-03,22
2015-04,26
2015-05,26
2015-06,29
2015-07,35
2015-08,34
2015-09,37
2015-10,33
2015-11,32
2015-12,38
2016-01,34
2016-02,37
2016-03,34
2016-04,38
2016-05,37
2016-06,46
2016-07,50
2016-08,47
2016-09,36
2016-10,39
2016-11,33
2016-12,42
2017-01,48
2017-02,69
2017-03,49
2017-04,48
2017-05,48
2017-06,60
2017-07,71
2017-08,65
2017-09,50
2017-10,43
2017-11,52
2017-12,53
2018-01,54
2018-02,43
2018-03,44
2018-04,41
2018-05,40
2018-06,58
2018-07,61
2018-08,68
2018-09,53
2018-10,50
2018-11,67
2018-12,77
2019-01,100
2019-02,61
2019-03,59
2019-04,51
2019-05,49
2019-06,47
2019-07,48
2019-08,37
2019-09,37
2019-10,34
2019-11,26
2019-12,27
2020-01,21
2020-02,31
2020-03,38
2020-04,30
2020-05,29
2020-06,29
2020-07,32
2020-08,32
2020-09,32
2020-10,21
2020-11,16
2020-12,18
2021-01,15
2021-02,13
2021-03,15
2021-04,14
2021-05,17
2021-06,14
2021-07,14
2021-08,14
2021-09,14
2021-10,14
2021-11,14
2021-12,15
2022-01,16
2022-02,16
2022-03,52
2022-04,30
2022-05,19
2022-06,15
2022-07,16
2022-08,17
2022-09,14
2022-10,15
2022-11,15
2022-12,15
2023-01,17
2023-02,15
2023-03,15
2023-04,15
2023-05,14
2023-06,14
2023-07,15
