Category: All categories

Month,Trollface: (United States)
2013-08,37
2013-09,35
2013-10,32
2013-11,33
2013-12,29
2014-01,26
2014-02,26
2014-03,29
2014-04,31
2014-05,30
2014-06,29
2014-07,22
2014-08,22
2014-09,25
2014-10,27
2014-11,28
2014-12,34
2015-01,27
2015-02,30
2015-03,38
2015-04,71
2015-05,54
2015-06,47
2015-07,44
2015-08,35
2015-09,43
2015-10,91
2015-11,54
2015-12,61
2016-01,53
2016-02,82
2016-03,51
2016-04,42
2016-05,51
2016-06,100
2016-07,73
2016-08,58
2016-09,87
2016-10,73
2016-11,75
2016-12,56
2017-01,44
2017-02,44
2017-03,73
2017-04,54
2017-05,44
2017-06,35
2017-07,25
2017-08,23
2017-09,24
2017-10,36
2017-11,28
2017-12,25
2018-01,17
2018-02,23
2018-03,33
2018-04,21
2018-05,20
2018-06,16
2018-07,17
2018-08,11
2018-09,13
2018-10,15
2018-11,17
2018-12,13
2019-01,16
2019-02,16
2019-03,14
2019-04,16
2019-05,15
2019-06,11
2019-07,9
2019-08,7
2019-09,10
2019-10,13
2019-11,12
2019-12,11
2020-01,10
2020-02,13
2020-03,11
2020-04,11
2020-05,11
2020-06,10
2020-07,9
2020-08,11
2020-09,13
2020-10,10
2020-11,13
2020-12,18
2021-01,20
2021-02,24
2021-03,31
2021-04,30
2021-05,30
2021-06,39
2021-07,33
2021-08,23
2021-09,30
2021-10,25
2021-11,24
2021-12,20
2022-01,27
2022-02,32
2022-03,32
2022-04,30
2022-05,24
2022-06,23
2022-07,20
2022-08,20
2022-09,22
2022-10,25
2022-11,24
2022-12,23
2023-01,25
2023-02,21
2023-03,26
2023-04,24
2023-05,21
2023-06,18
2023-07,18
