Category: All categories

Month,Dat Ass: (United States)
2013-08,100
2013-09,94
2013-10,91
2013-11,93
2013-12,91
2014-01,92
2014-02,91
2014-03,90
2014-04,83
2014-05,90
2014-06,84
2014-07,81
2014-08,78
2014-09,69
2014-10,63
2014-11,69
2014-12,60
2015-01,60
2015-02,58
2015-03,60
2015-04,56
2015-05,58
2015-06,60
2015-07,56
2015-08,55
2015-09,55
2015-10,52
2015-11,47
2015-12,49
2016-01,43
2016-02,40
2016-03,39
2016-04,41
2016-05,37
2016-06,42
2016-07,42
2016-08,35
2016-09,31
2016-10,35
2016-11,36
2016-12,37
2017-01,42
2017-02,37
2017-03,31
2017-04,31
2017-05,31
2017-06,29
2017-07,27
2017-08,25
2017-09,24
2017-10,23
2017-11,25
2017-12,23
2018-01,23
2018-02,23
2018-03,24
2018-04,23
2018-05,22
2018-06,27
2018-07,23
2018-08,24
2018-09,20
2018-10,20
2018-11,21
2018-12,19
2019-01,17
2019-02,18
2019-03,20
2019-04,14
2019-05,18
2019-06,17
2019-07,16
2019-08,17
2019-09,17
2019-10,17
2019-11,15
2019-12,17
2020-01,21
2020-02,18
2020-03,17
2020-04,15
2020-05,15
2020-06,14
2020-07,16
2020-08,13
2020-09,12
2020-10,12
2020-11,14
2020-12,13
2021-01,11
2021-02,13
2021-03,12
2021-04,12
2021-05,14
2021-06,12
2021-07,12
2021-08,14
2021-09,10
2021-10,10
2021-11,10
2021-12,10
2022-01,11
2022-02,11
2022-03,9
2022-04,12
2022-05,10
2022-06,9
2022-07,10
2022-08,10
2022-09,7
2022-10,8
2022-11,8
2022-12,8
2023-01,8
2023-02,8
2023-03,9
2023-04,8
2023-05,10
2023-06,8
2023-07,0
