Category: All categories

Month,Haters Gonna Hate: (United States)
2013-08,69
2013-09,65
2013-10,58
2013-11,55
2013-12,57
2014-01,59
2014-02,62
2014-03,60
2014-04,64
2014-05,63
2014-06,65
2014-07,63
2014-08,65
2014-09,95
2014-10,100
2014-11,94
2014-12,84
2015-01,96
2015-02,98
2015-03,81
2015-04,74
2015-05,69
2015-06,66
2015-07,63
2015-08,61
2015-09,61
2015-10,58
2015-11,100
2015-12,44
2016-01,43
2016-02,43
2016-03,41
2016-04,42
2016-05,41
2016-06,41
2016-07,45
2016-08,35
2016-09,41
2016-10,35
2016-11,37
2016-12,31
2017-01,31
2017-02,30
2017-03,25
2017-04,29
2017-05,27
2017-06,27
2017-07,23
2017-08,24
2017-09,25
2017-10,25
2017-11,20
2017-12,21
2018-01,24
2018-02,22
2018-03,18
2018-04,17
2018-05,19
2018-06,19
2018-07,14
2018-08,18
2018-09,16
2018-10,16
2018-11,13
2018-12,14
2019-01,19
2019-02,14
2019-03,15
2019-04,12
2019-05,14
2019-06,14
2019-07,12
2019-08,13
2019-09,12
2019-10,13
2019-11,11
2019-12,10
2020-01,12
2020-02,11
2020-03,11
2020-04,11
2020-05,10
2020-06,9
2020-07,8
2020-08,9
2020-09,10
2020-10,10
2020-11,8
2020-12,7
2021-01,8
2021-02,6
2021-03,7
2021-04,7
2021-05,7
2021-06,7
2021-07,7
2021-08,9
2021-09,9
2021-10,8
2021-11,8
2021-12,9
2022-01,6
2022-02,8
2022-03,6
2022-04,7
2022-05,6
2022-06,7
2022-07,8
2022-08,8
2022-09,7
2022-10,7
2022-11,7
2022-12,6
2023-01,7
2023-02,7
2023-03,7
2023-04,7
2023-05,7
2023-06,6
2023-07,12
