Category: All categories

Month,Pedobear: (United States)
2013-08,100
2013-09,90
2013-10,89
2013-11,74
2013-12,65
2014-01,78
2014-02,69
2014-03,63
2014-04,77
2014-05,68
2014-06,60
2014-07,68
2014-08,63
2014-09,54
2014-10,63
2014-11,54
2014-12,46
2015-01,45
2015-02,48
2015-03,58
2015-04,54
2015-05,52
2015-06,47
2015-07,40
2015-08,41
2015-09,47
2015-10,42
2015-11,47
2015-12,44
2016-01,38
2016-02,35
2016-03,37
2016-04,31
2016-05,35
2016-06,32
2016-07,42
2016-08,24
2016-09,45
2016-10,32
2016-11,28
2016-12,29
2017-01,24
2017-02,26
2017-03,24
2017-04,21
2017-05,24
2017-06,22
2017-07,20
2017-08,20
2017-09,22
2017-10,24
2017-11,25
2017-12,20
2018-01,16
2018-02,16
2018-03,15
2018-04,16
2018-05,18
2018-06,16
2018-07,16
2018-08,15
2018-09,15
2018-10,19
2018-11,15
2018-12,13
2019-01,13
2019-02,11
2019-03,12
2019-04,11
2019-05,12
2019-06,13
2019-07,9
2019-08,10
2019-09,11
2019-10,13
2019-11,9
2019-12,9
2020-01,7
2020-02,10
2020-03,5
2020-04,8
2020-05,9
2020-06,6
2020-07,11
2020-08,10
2020-09,11
2020-10,8
2020-11,11
2020-12,6
2021-01,8
2021-02,6
2021-03,7
2021-04,6
2021-05,98
2021-06,9
2021-07,5
2021-08,4
2021-09,7
2021-10,8
2021-11,5
2021-12,3
2022-01,6
2022-02,5
2022-03,6
2022-04,7
2022-05,6
2022-06,4
2022-07,7
2022-08,7
2022-09,3
2022-10,7
2022-11,11
2022-12,6
2023-01,5
2023-02,6
2023-03,4
2023-04,4
2023-05,5
2023-06,7
2023-07,0
