Category: All categories

Month,Harlem Shake: (United States)
2013-08,100
2013-09,73
2013-10,61
2013-11,71
2013-12,76
2014-01,73
2014-02,54
2014-03,51
2014-04,44
2014-05,42
2014-06,44
2014-07,38
2014-08,34
2014-09,29
2014-10,30
2014-11,32
2014-12,29
2015-01,31
2015-02,31
2015-03,31
2015-04,27
2015-05,31
2015-06,26
2015-07,21
2015-08,21
2015-09,24
2015-10,23
2015-11,23
2015-12,20
2016-01,17
2016-02,18
2016-03,18
2016-04,16
2016-05,17
2016-06,14
2016-07,13
2016-08,11
2016-09,13
2016-10,15
2016-11,17
2016-12,13
2017-01,13
2017-02,11
2017-03,12
2017-04,11
2017-05,11
2017-06,10
2017-07,9
2017-08,9
2017-09,11
2017-10,10
2017-11,10
2017-12,13
2018-01,9
2018-02,9
2018-03,9
2018-04,9
2018-05,7
2018-06,7
2018-07,7
2018-08,7
2018-09,6
2018-10,7
2018-11,7
2018-12,7
2019-01,6
2019-02,14
2019-03,8
2019-04,7
2019-05,6
2019-06,8
2019-07,6
2019-08,9
2019-09,7
2019-10,9
2019-11,6
2019-12,6
2020-01,6
2020-02,8
2020-03,8
2020-04,7
2020-05,7
2020-06,5
2020-07,5
2020-08,5
2020-09,5
2020-10,5
2020-11,5
2020-12,6
2021-01,7
2021-02,6
2021-03,5
2021-04,5
2021-05,5
2021-06,8
2021-07,6
2021-08,5
2021-09,4
2021-10,5
2021-11,4
2021-12,5
2022-01,6
2022-02,7
2022-03,5
2022-04,6
2022-05,5
2022-06,5
2022-07,7
2022-08,9
2022-09,7
2022-10,11
2022-11,7
2022-12,8
2023-01,6
2023-02,7
2023-03,6
2023-04,7
2023-05,7
2023-06,6
2023-07,11
