Category: All categories

Month,Forever Alone: (United States)
2013-08,87
2013-09,83
2013-10,80
2013-11,81
2013-12,76
2014-01,76
2014-02,100
2014-03,60
2014-04,63
2014-05,68
2014-06,60
2014-07,57
2014-08,60
2014-09,56
2014-10,51
2014-11,53
2014-12,56
2015-01,61
2015-02,70
2015-03,52
2015-04,55
2015-05,55
2015-06,54
2015-07,49
2015-08,49
2015-09,48
2015-10,48
2015-11,49
2015-12,47
2016-01,49
2016-02,53
2016-03,41
2016-04,39
2016-05,43
2016-06,38
2016-07,36
2016-08,32
2016-09,36
2016-10,38
2016-11,35
2016-12,33
2017-01,36
2017-02,40
2017-03,30
2017-04,29
2017-05,28
2017-06,27
2017-07,25
2017-08,28
2017-09,23
2017-10,28
2017-11,30
2017-12,28
2018-01,26
2018-02,31
2018-03,26
2018-04,29
2018-05,20
2018-06,22
2018-07,23
2018-08,22
2018-09,24
2018-10,24
2018-11,21
2018-12,23
2019-01,20
2019-02,27
2019-03,21
2019-04,22
2019-05,18
2019-06,15
2019-07,18
2019-08,17
2019-09,18
2019-10,17
2019-11,18
2019-12,19
2020-01,17
2020-02,21
2020-03,17
2020-04,16
2020-05,15
2020-06,14
2020-07,15
2020-08,14
2020-09,14
2020-10,13
2020-11,14
2020-12,14
2021-01,42
2021-02,40
2021-03,26
2021-04,21
2021-05,21
2021-06,17
2021-07,16
2021-08,13
2021-09,12
2021-10,12
2021-11,12
2021-12,13
2022-01,13
2022-02,14
2022-03,15
2022-04,12
2022-05,12
2022-06,14
2022-07,14
2022-08,11
2022-09,12
2022-10,11
2022-11,17
2022-12,16
2023-01,12
2023-02,15
2023-03,12
2023-04,12
2023-05,13
2023-06,11
2023-07,0
