Category: All categories

Month,Kappa: (United States)
2013-08,74
2013-09,93
2013-10,91
2013-11,83
2013-12,59
2014-01,88
2014-02,89
2014-03,83
2014-04,89
2014-05,69
2014-06,54
2014-07,60
2014-08,74
2014-09,100
2014-10,82
2014-11,86
2014-12,66
2015-01,87
2015-02,82
2015-03,97
2015-04,87
2015-05,65
2015-06,55
2015-07,54
2015-08,81
2015-09,98
2015-10,84
2015-11,81
2015-12,62
2016-01,83
2016-02,86
2016-03,77
2016-04,86
2016-05,68
2016-06,53
2016-07,56
2016-08,71
2016-09,86
2016-10,76
2016-11,67
2016-12,59
2017-01,74
2017-02,75
2017-03,74
2017-04,77
2017-05,63
2017-06,51
2017-07,49
2017-08,65
2017-09,76
2017-10,73
2017-11,71
2017-12,56
2018-01,77
2018-02,70
2018-03,66
2018-04,77
2018-05,59
2018-06,51
2018-07,52
2018-08,66
2018-09,76
2018-10,72
2018-11,68
2018-12,64
2019-01,79
2019-02,72
2019-03,74
2019-04,79
2019-05,59
2019-06,51
2019-07,52
2019-08,64
2019-09,71
2019-10,68
2019-11,70
2019-12,65
2020-01,77
2020-02,70
2020-03,49
2020-04,49
2020-05,51
2020-06,51
2020-07,49
2020-08,56
2020-09,53
2020-10,52
2020-11,49
2020-12,45
2021-01,58
2021-02,54
2021-03,50
2021-04,50
2021-05,44
2021-06,39
2021-07,43
2021-08,53
2021-09,61
2021-10,55
2021-11,58
2021-12,51
2022-01,63
2022-02,64
2022-03,58
2022-04,61
2022-05,54
2022-06,46
2022-07,51
2022-08,63
2022-09,60
2022-10,62
2022-11,53
2022-12,51
2023-01,63
2023-02,62
2023-03,58
2023-04,61
2023-05,50
2023-06,44
2023-07,38
