Category: All categories

Month,Doge: (United States)
2013-08,4
2013-09,5
2013-10,13
2013-11,35
2013-12,40
2014-01,33
2014-02,33
2014-03,25
2014-04,23
2014-05,22
2014-06,12
2014-07,10
2014-08,10
2014-09,10
2014-10,11
2014-11,10
2014-12,12
2015-01,12
2015-02,12
2015-03,11
2015-04,12
2015-05,13
2015-06,11
2015-07,12
2015-08,11
2015-09,14
2015-10,16
2015-11,15
2015-12,15
2016-01,13
2016-02,14
2016-03,14
2016-04,13
2016-05,13
2016-06,10
2016-07,9
2016-08,9
2016-09,12
2016-10,13
2016-11,11
2016-12,11
2017-01,11
2017-02,12
2017-03,11
2017-04,11
2017-05,11
2017-06,9
2017-07,7
2017-08,7
2017-09,9
2017-10,10
2017-11,9
2017-12,10
2018-01,11
2018-02,10
2018-03,9
2018-04,8
2018-05,9
2018-06,6
2018-07,6
2018-08,7
2018-09,9
2018-10,8
2018-11,8
2018-12,7
2019-01,8
2019-02,8
2019-03,8
2019-04,9
2019-05,8
2019-06,6
2019-07,6
2019-08,6
2019-09,7
2019-10,8
2019-11,8
2019-12,7
2020-01,7
2020-02,9
2020-03,6
2020-04,5
2020-05,6
2020-06,7
2020-07,8
2020-08,7
2020-09,8
2020-10,6
2020-11,5
2020-12,7
2021-01,45
2021-02,56
2021-03,15
2021-04,84
2021-05,100
2021-06,29
2021-07,23
2021-08,16
2021-09,13
2021-10,19
2021-11,16
2021-12,13
2022-01,15
2022-02,11
2022-03,11
2022-04,14
2022-05,13
2022-06,10
2022-07,8
2022-08,8
2022-09,9
2022-10,11
2022-11,12
2022-12,8
2023-01,8
2023-02,10
2023-03,9
2023-04,14
2023-05,9
2023-06,7
2023-07,8
