Category: All categories

Month,Dick Butt: (United States)
2013-08,53
2013-09,52
2013-10,53
2013-11,57
2013-12,60
2014-01,81
2014-02,73
2014-03,73
2014-04,85
2014-05,98
2014-06,100
2014-07,95
2014-08,87
2014-09,91
2014-10,82
2014-11,92
2014-12,97
2015-01,87
2015-02,81
2015-03,83
2015-04,88
2015-05,88
2015-06,85
2015-07,90
2015-08,86
2015-09,83
2015-10,70
2015-11,83
2015-12,84
2016-01,78
2016-02,77
2016-03,76
2016-04,73
2016-05,78
2016-06,77
2016-07,76
2016-08,68
2016-09,64
2016-10,65
2016-11,67
2016-12,72
2017-01,59
2017-02,65
2017-03,60
2017-04,64
2017-05,63
2017-06,67
2017-07,61
2017-08,55
2017-09,50
2017-10,50
2017-11,47
2017-12,50
2018-01,45
2018-02,46
2018-03,51
2018-04,44
2018-05,44
2018-06,48
2018-07,46
2018-08,45
2018-09,43
2018-10,45
2018-11,40
2018-12,44
2019-01,43
2019-02,41
2019-03,39
2019-04,39
2019-05,40
2019-06,42
2019-07,38
2019-08,36
2019-09,34
2019-10,36
2019-11,39
2019-12,39
2020-01,35
2020-02,39
2020-03,35
2020-04,34
2020-05,36
2020-06,36
2020-07,34
2020-08,34
2020-09,33
2020-10,33
2020-11,36
2020-12,40
2021-01,37
2021-02,40
2021-03,38
2021-04,34
2021-05,41
2021-06,38
2021-07,36
2021-08,38
2021-09,33
2021-10,39
2021-11,35
2021-12,36
2022-01,40
2022-02,38
2022-03,38
2022-04,36
2022-05,35
2022-06,35
2022-07,38
2022-08,35
2022-09,31
2022-10,32
2022-11,30
2022-12,30
2023-01,30
2023-02,32
2023-03,30
2023-04,32
2023-05,33
2023-06,29
2023-07,40
