Category: All categories

Month,I Took an Arrow in the Knee: (United States)
2013-08,0
2013-09,6
2013-10,4
2013-11,0
2013-12,6
2014-01,5
2014-02,0
2014-03,6
2014-04,0
2014-05,4
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,6
2014-11,0
2014-12,0
2015-01,4
2015-02,0
2015-03,8
2015-04,5
2015-05,4
2015-06,0
2015-07,0
2015-08,6
2015-09,0
2015-10,4
2015-11,0
2015-12,4
2016-01,0
2016-02,2
2016-03,0
2016-04,3
2016-05,9
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,4
2016-11,6
2016-12,4
2017-01,0
2017-02,0
2017-03,4
2017-04,0
2017-05,4
2017-06,3
2017-07,0
2017-08,0
2017-09,2
2017-10,0
2017-11,3
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,2
2018-06,3
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,5
2018-12,3
2019-01,0
2019-02,4
2019-03,4
2019-04,0
2019-05,3
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,4
2019-11,0
2019-12,0
2020-01,0
2020-02,0
2020-03,0
2020-04,2
2020-05,0
2020-06,0
2020-07,0
2020-08,5
2020-09,0
2020-10,3
2020-11,0
2020-12,3
2021-01,0
2021-02,0
2021-03,0
2021-04,0
2021-05,0
2021-06,0
2021-07,2
2021-08,0
2021-09,0
2021-10,4
2021-11,0
2021-12,0
2022-01,9
2022-02,0
2022-03,3
2022-04,4
2022-05,0
2022-06,0
2022-07,0
2022-08,0
2022-09,5
2022-10,0
2022-11,0
2022-12,4
2023-01,0
2023-02,0
2023-03,0
2023-04,2
2023-05,0
2023-06,0
2023-07,100
