Category: All categories

Month,Lenny Face: (United States)
2013-08,7
2013-09,7
2013-10,6
2013-11,7
2013-12,6
2014-01,6
2014-02,7
2014-03,7
2014-04,9
2014-05,13
2014-06,18
2014-07,22
2014-08,25
2014-09,26
2014-10,29
2014-11,35
2014-12,36
2015-01,43
2015-02,47
2015-03,55
2015-04,59
2015-05,69
2015-06,72
2015-07,80
2015-08,88
2015-09,89
2015-10,95
2015-11,95
2015-12,100
2016-01,82
2016-02,92
2016-03,85
2016-04,86
2016-05,85
2016-06,82
2016-07,71
2016-08,67
2016-09,81
2016-10,78
2016-11,80
2016-12,82
2017-01,72
2017-02,85
2017-03,83
2017-04,78
2017-05,78
2017-06,54
2017-07,50
2017-08,51
2017-09,64
2017-10,72
2017-11,66
2017-12,66
2018-01,63
2018-02,66
2018-03,65
2018-04,64
2018-05,68
2018-06,48
2018-07,39
2018-08,39
2018-09,55
2018-10,66
2018-11,60
2018-12,59
2019-01,54
2019-02,56
2019-03,57
2019-04,58
2019-05,59
2019-06,40
2019-07,31
2019-08,33
2019-09,54
2019-10,57
2019-11,53
2019-12,48
2020-01,45
2020-02,48
2020-03,47
2020-04,51
2020-05,48
2020-06,39
2020-07,31
2020-08,44
2020-09,66
2020-10,42
2020-11,28
2020-12,28
2021-01,25
2021-02,24
2021-03,22
2021-04,21
2021-05,19
2021-06,15
2021-07,13
2021-08,13
2021-09,13
2021-10,14
2021-11,13
2021-12,12
2022-01,13
2022-02,14
2022-03,13
2022-04,20
2022-05,17
2022-06,12
2022-07,9
2022-08,11
2022-09,13
2022-10,13
2022-11,11
2022-12,12
2023-01,11
2023-02,11
2023-03,11
2023-04,9
2023-05,9
2023-06,7
2023-07,4
