Category: All categories

Month,Annoying Facebook Girl: (United States)
2013-08,100
2013-09,83
2013-10,67
2013-11,49
2013-12,50
2014-01,78
2014-02,0
2014-03,44
2014-04,41
2014-05,13
2014-06,24
2014-07,26
2014-08,30
2014-09,27
2014-10,21
2014-11,35
2014-12,18
2015-01,0
2015-02,33
2015-03,13
2015-04,21
2015-05,44
2015-06,0
2015-07,25
2015-08,16
2015-09,0
2015-10,63
2015-11,49
2015-12,0
2016-01,40
2016-02,13
2016-03,19
2016-04,18
2016-05,19
2016-06,23
2016-07,0
2016-08,0
2016-09,20
2016-10,12
2016-11,0
2016-12,29
2017-01,19
2017-02,34
2017-03,34
2017-04,12
2017-05,23
2017-06,11
2017-07,13
2017-08,0
2017-09,22
2017-10,0
2017-11,28
2017-12,13
2018-01,9
2018-02,0
2018-03,0
2018-04,11
2018-05,21
2018-06,14
2018-07,9
2018-08,0
2018-09,11
2018-10,0
2018-11,12
2018-12,0
2019-01,22
2019-02,0
2019-03,0
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,12
2019-09,0
2019-10,0
2019-11,7
2019-12,11
2020-01,11
2020-02,0
2020-03,15
2020-04,0
2020-05,0
2020-06,0
2020-07,24
2020-08,0
2020-09,0
2020-10,0
2020-11,24
2020-12,14
2021-01,0
2021-02,0
2021-03,0
2021-04,8
2021-05,0
2021-06,0
2021-07,0
2021-08,0
2021-09,0
2021-10,0
2021-11,0
2021-12,0
2022-01,23
2022-02,0
2022-03,0
2022-04,0
2022-05,0
2022-06,0
2022-07,0
2022-08,0
2022-09,0
2022-10,0
2022-11,0
2022-12,0
2023-01,9
2023-02,7
2023-03,0
2023-04,0
2023-05,0
2023-06,0
2023-07,0
