Category: All categories

Month,Grumpy Cat: (United States)
2013-08,37
2013-09,37
2013-10,33
2013-11,36
2013-12,46
2014-01,26
2014-02,31
2014-03,26
2014-04,44
2014-05,30
2014-06,26
2014-07,38
2014-08,29
2014-09,26
2014-10,28
2014-11,64
2014-12,73
2015-01,33
2015-02,32
2015-03,29
2015-04,25
2015-05,21
2015-06,23
2015-07,21
2015-08,20
2015-09,24
2015-10,28
2015-11,26
2015-12,34
2016-01,19
2016-02,22
2016-03,19
2016-04,17
2016-05,15
2016-06,14
2016-07,12
2016-08,12
2016-09,15
2016-10,16
2016-11,18
2016-12,20
2017-01,15
2017-02,14
2017-03,13
2017-04,11
2017-05,11
2017-06,9
2017-07,8
2017-08,9
2017-09,10
2017-10,12
2017-11,11
2017-12,13
2018-01,13
2018-02,11
2018-03,9
2018-04,9
2018-05,8
2018-06,7
2018-07,6
2018-08,6
2018-09,7
2018-10,8
2018-11,9
2018-12,9
2019-01,7
2019-02,7
2019-03,6
2019-04,6
2019-05,100
2019-06,11
2019-07,6
2019-08,6
2019-09,6
2019-10,7
2019-11,8
2019-12,10
2020-01,7
2020-02,7
2020-03,4
2020-04,4
2020-05,4
2020-06,4
2020-07,4
2020-08,4
2020-09,4
2020-10,4
2020-11,3
2020-12,5
2021-01,3
2021-02,3
2021-03,3
2021-04,3
2021-05,3
2021-06,3
2021-07,3
2021-08,3
2021-09,3
2021-10,3
2021-11,3
2021-12,4
2022-01,3
2022-02,3
2022-03,3
2022-04,3
2022-05,3
2022-06,3
2022-07,3
2022-08,3
2022-09,3
2022-10,3
2022-11,3
2022-12,4
2023-01,3
2023-02,3
2023-03,3
2023-04,3
2023-05,3
2023-06,2
2023-07,2
