Category: All categories

Month,Do a Barrel Roll: (United States)
2013-08,45
2013-09,70
2013-10,68
2013-11,69
2013-12,56
2014-01,82
2014-02,65
2014-03,69
2014-04,73
2014-05,83
2014-06,85
2014-07,84
2014-08,48
2014-09,75
2014-10,93
2014-11,100
2014-12,98
2015-01,63
2015-02,74
2015-03,81
2015-04,97
2015-05,82
2015-06,48
2015-07,34
2015-08,39
2015-09,94
2015-10,74
2015-11,59
2015-12,52
2016-01,36
2016-02,51
2016-03,44
2016-04,40
2016-05,39
2016-06,21
2016-07,13
2016-08,19
2016-09,43
2016-10,52
2016-11,44
2016-12,39
2017-01,39
2017-02,37
2017-03,46
2017-04,38
2017-05,36
2017-06,23
2017-07,31
2017-08,33
2017-09,48
2017-10,49
2017-11,43
2017-12,40
2018-01,38
2018-02,32
2018-03,28
2018-04,27
2018-05,26
2018-06,13
2018-07,7
2018-08,16
2018-09,28
2018-10,45
2018-11,36
2018-12,26
2019-01,30
2019-02,29
2019-03,26
2019-04,50
2019-05,38
2019-06,25
2019-07,19
2019-08,23
2019-09,51
2019-10,41
2019-11,27
2019-12,26
2020-01,23
2020-02,24
2020-03,16
2020-04,17
2020-05,19
2020-06,11
2020-07,19
2020-08,13
2020-09,17
2020-10,11
2020-11,9
2020-12,10
2021-01,9
2021-02,11
2021-03,10
2021-04,10
2021-05,9
2021-06,12
2021-07,8
2021-08,6
2021-09,8
2021-10,13
2021-11,9
2021-12,6
2022-01,16
2022-02,13
2022-03,13
2022-04,16
2022-05,17
2022-06,19
2022-07,8
2022-08,10
2022-09,18
2022-10,17
2022-11,14
2022-12,14
2023-01,11
2023-02,17
2023-03,19
2023-04,12
2023-05,17
2023-06,7
2023-07,5
