Month,if you know what i mean: (United States)
2004-01,0
2004-02,0
2004-03,16
2004-04,8
2004-05,11
2004-06,0
2004-07,16
2004-08,0
2004-09,0
2004-10,12
2004-11,6
2004-12,0
2005-01,0
2005-02,21
2005-03,10
2005-04,9
2005-05,17
2005-06,21
2005-07,11
2005-08,10
2005-09,11
2005-10,14
2005-11,7
2005-12,9
2006-01,10
2006-02,10
2006-03,6
2006-04,16
2006-05,12
2006-06,15
2006-07,12
2006-08,7
2006-09,9
2006-10,14
2006-11,10
2006-12,10
2007-01,5
2007-02,7
2007-03,10
2007-04,5
2007-05,16
2007-06,10
2007-07,15
2007-08,13
2007-09,11
2007-10,16
2007-11,12
2007-12,16
2008-01,13
2008-02,11
2008-03,14
2008-04,14
2008-05,14
2008-06,11
2008-07,12
2008-08,12
2008-09,15
2008-10,13
2008-11,13
2008-12,21
2009-01,15
2009-02,14
2009-03,17
2009-04,14
2009-05,18
2009-06,20
2009-07,18
2009-08,18
2009-09,26
2009-10,17
2009-11,17
2009-12,21
2010-01,13
2010-02,23
2010-03,21
2010-04,20
2010-05,22
2010-06,23
2010-07,24
2010-08,19
2010-09,21
2010-10,24
2010-11,19
2010-12,21
2011-01,24
2011-02,21
2011-03,28
2011-04,26
2011-05,24
2011-06,23
2011-07,24
2011-08,26
2011-09,29
2011-10,24
2011-11,25
2011-12,28
2012-01,26
2012-02,56
2012-03,73
2012-04,91
2012-05,75
2012-06,89
2012-07,86
2012-08,78
2012-09,67
2012-10,69
2012-11,73
2012-12,77
2013-01,79
2013-02,100
2013-03,89
2013-04,78
2013-05,84
2013-06,78
2013-07,70
2013-08,65
2013-09,55
2013-10,56
2013-11,56
2013-12,54
2014-01,54
2014-02,49
2014-03,46
2014-04,46
2014-05,48
2014-06,44
2014-07,42
2014-08,31
2014-09,36
2014-10,37
2014-11,33
2014-12,39
2015-01,33
2015-02,33
2015-03,33
2015-04,35
2015-05,31
2015-06,35
2015-07,28
2015-08,29
2015-09,30
2015-10,28
2015-11,27
2015-12,29
2016-01,31
2016-02,31
2016-03,29
2016-04,31
2016-05,29
2016-06,26
2016-07,28
2016-08,28
2016-09,28
2016-10,27
2016-11,24
2016-12,26
2017-01,26
2017-02,28
2017-03,26
2017-04,27
2017-05,28
2017-06,23
2017-07,28
2017-08,25
2017-09,26
2017-10,26
2017-11,24
2017-12,21
2018-01,26
2018-02,27
2018-03,26
2018-04,22
2018-05,23
2018-06,27
2018-07,21
2018-08,26
2018-09,22
2018-10,23
2018-11,27
2018-12,25
2019-01,26
2019-02,25
2019-03,28
2019-04,26
2019-05,25
2019-06,25
2019-07,28
2019-08,26
2019-09,26
2019-10,26
2019-11,28
2019-12,30
2020-01,39
2020-02,37
2020-03,39
2020-04,44
2020-05,38
2020-06,36
2020-07,36
2020-08,31
2020-09,37
2020-10,35
2020-11,38
2020-12,36
2021-01,39
2021-02,41
2021-03,37
2021-04,37
2021-05,34
2021-06,37
2021-07,37
2021-08,37
2021-09,36
2021-10,37
2021-11,35
2021-12,36
2022-01,45
2022-02,48
2022-03,49
2022-04,51
2022-05,49
2022-06,48
2022-07,48
2022-08,46
2022-09,42
2022-10,45
2022-11,46
2022-12,43
2023-01,47
2023-02,49
2023-03,46
2023-04,47
2023-05,47
2023-06,46
2023-07,44
2023-08,41
2023-09,45
2023-10,48
