Month,pedobear: (United States)
2004-01,0
2004-02,0
2004-03,4
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,5
2004-11,3
2004-12,2
2005-01,4
2005-02,0
2005-03,2
2005-04,0
2005-05,0
2005-06,2
2005-07,3
2005-08,3
2005-09,4
2005-10,1
2005-11,7
2005-12,1
2006-01,0
2006-02,0
2006-03,3
2006-04,3
2006-05,4
2006-06,7
2006-07,0
2006-08,4
2006-09,4
2006-10,4
2006-11,6
2006-12,4
2007-01,6
2007-02,6
2007-03,6
2007-04,5
2007-05,13
2007-06,17
2007-07,21
2007-08,19
2007-09,21
2007-10,21
2007-11,24
2007-12,26
2008-01,24
2008-02,24
2008-03,28
2008-04,38
2008-05,33
2008-06,40
2008-07,37
2008-08,39
2008-09,72
2008-10,71
2008-11,50
2008-12,50
2009-01,45
2009-02,44
2009-03,51
2009-04,54
2009-05,43
2009-06,57
2009-07,68
2009-08,61
2009-09,73
2009-10,68
2009-11,58
2009-12,58
2010-01,52
2010-02,100
2010-03,65
2010-04,76
2010-05,66
2010-06,68
2010-07,65
2010-08,54
2010-09,83
2010-10,78
2010-11,61
2010-12,86
2011-01,49
2011-02,50
2011-03,56
2011-04,52
2011-05,47
2011-06,49
2011-07,47
2011-08,53
2011-09,54
2011-10,61
2011-11,80
2011-12,74
2012-01,64
2012-02,55
2012-03,49
2012-04,53
2012-05,47
2012-06,47
2012-07,50
2012-08,34
2012-09,31
2012-10,36
2012-11,30
2012-12,31
2013-01,25
2013-02,24
2013-03,24
2013-04,23
2013-05,21
2013-06,22
2013-07,18
2013-08,21
2013-09,17
2013-10,19
2013-11,17
2013-12,15
2014-01,16
2014-02,14
2014-03,13
2014-04,15
2014-05,14
2014-06,13
2014-07,14
2014-08,13
2014-09,12
2014-10,13
2014-11,11
2014-12,9
2015-01,9
2015-02,10
2015-03,11
2015-04,11
2015-05,9
2015-06,10
2015-07,9
2015-08,9
2015-09,10
2015-10,9
2015-11,9
2015-12,8
2016-01,8
2016-02,8
2016-03,7
2016-04,7
2016-05,7
2016-06,6
2016-07,9
2016-08,6
2016-09,9
2016-10,7
2016-11,6
2016-12,6
2017-01,6
2017-02,5
2017-03,5
2017-04,5
2017-05,5
2017-06,5
2017-07,4
2017-08,4
2017-09,4
2017-10,5
2017-11,5
2017-12,4
2018-01,3
2018-02,4
2018-03,3
2018-04,3
2018-05,3
2018-06,3
2018-07,3
2018-08,3
2018-09,3
2018-10,3
2018-11,3
2018-12,3
2019-01,3
2019-02,2
2019-03,3
2019-04,3
2019-05,2
2019-06,3
2019-07,2
2019-08,2
2019-09,2
2019-10,2
2019-11,2
2019-12,2
2020-01,2
2020-02,2
2020-03,1
2020-04,1
2020-05,2
2020-06,2
2020-07,2
2020-08,2
2020-09,2
2020-10,2
2020-11,2
2020-12,2
2021-01,2
2021-02,2
2021-03,1
2021-04,2
2021-05,19
2021-06,2
2021-07,1
2021-08,1
2021-09,1
2021-10,2
2021-11,1
2021-12,1
2022-01,1
2022-02,1
2022-03,1
2022-04,2
2022-05,1
2022-06,1
2022-07,1
2022-08,1
2022-09,1
2022-10,1
2022-11,2
2022-12,2
2023-01,1
2023-02,1
2023-03,1
2023-04,1
2023-05,1
2023-06,1
2023-07,1
2023-08,1
2023-09,1
2023-10,2
