Month,rage guy: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,45
2004-05,0
2004-06,11
2004-07,43
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,14
2005-04,0
2005-05,15
2005-06,9
2005-07,0
2005-08,12
2005-09,0
2005-10,8
2005-11,12
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,10
2006-06,0
2006-07,0
2006-08,5
2006-09,11
2006-10,0
2006-11,0
2006-12,0
2007-01,18
2007-02,0
2007-03,11
2007-04,9
2007-05,5
2007-06,0
2007-07,0
2007-08,4
2007-09,9
2007-10,3
2007-11,3
2007-12,8
2008-01,5
2008-02,6
2008-03,0
2008-04,12
2008-05,8
2008-06,11
2008-07,5
2008-08,3
2008-09,7
2008-10,11
2008-11,5
2008-12,4
2009-01,7
2009-02,10
2009-03,9
2009-04,7
2009-05,6
2009-06,5
2009-07,10
2009-08,8
2009-09,9
2009-10,11
2009-11,10
2009-12,26
2010-01,23
2010-02,25
2010-03,28
2010-04,32
2010-05,32
2010-06,32
2010-07,33
2010-08,29
2010-09,38
2010-10,48
2010-11,100
2010-12,71
2011-01,80
2011-02,94
2011-03,86
2011-04,96
2011-05,73
2011-06,72
2011-07,61
2011-08,65
2011-09,71
2011-10,73
2011-11,83
2011-12,78
2012-01,78
2012-02,80
2012-03,76
2012-04,74
2012-05,63
2012-06,68
2012-07,52
2012-08,56
2012-09,46
2012-10,44
2012-11,37
2012-12,41
2013-01,35
2013-02,34
2013-03,42
2013-04,29
2013-05,26
2013-06,28
2013-07,31
2013-08,23
2013-09,21
2013-10,22
2013-11,23
2013-12,23
2014-01,19
2014-02,19
2014-03,30
2014-04,24
2014-05,20
2014-06,22
2014-07,24
2014-08,20
2014-09,17
2014-10,17
2014-11,19
2014-12,16
2015-01,20
2015-02,26
2015-03,21
2015-04,19
2015-05,18
2015-06,24
2015-07,20
2015-08,20
2015-09,16
2015-10,17
2015-11,15
2015-12,16
2016-01,17
2016-02,20
2016-03,17
2016-04,15
2016-05,21
2016-06,21
2016-07,27
2016-08,14
2016-09,16
2016-10,23
2016-11,20
2016-12,21
2017-01,18
2017-02,13
2017-03,16
2017-04,19
2017-05,20
2017-06,18
2017-07,21
2017-08,17
2017-09,13
2017-10,13
2017-11,13
2017-12,14
2018-01,14
2018-02,17
2018-03,17
2018-04,14
2018-05,13
2018-06,16
2018-07,13
2018-08,15
2018-09,14
2018-10,12
2018-11,13
2018-12,14
2019-01,19
2019-02,16
2019-03,11
2019-04,10
2019-05,13
2019-06,9
2019-07,11
2019-08,11
2019-09,13
2019-10,13
2019-11,13
2019-12,11
2020-01,13
2020-02,14
2020-03,13
2020-04,10
2020-05,13
2020-06,15
2020-07,13
2020-08,13
2020-09,14
2020-10,13
2020-11,10
2020-12,14
2021-01,11
2021-02,13
2021-03,12
2021-04,13
2021-05,13
2021-06,21
2021-07,17
2021-08,13
2021-09,12
2021-10,11
2021-11,13
2021-12,14
2022-01,17
2022-02,22
2022-03,14
2022-04,15
2022-05,18
2022-06,16
2022-07,18
2022-08,20
2022-09,14
2022-10,14
2022-11,12
2022-12,15
2023-01,38
2023-02,22
2023-03,16
2023-04,13
2023-05,13
2023-06,13
2023-07,41
2023-08,21
2023-09,23
2023-10,34
