Month,good guy greg: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,32
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,15
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,4
2005-06,0
2005-07,0
2005-08,10
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,11
2006-06,0
2006-07,0
2006-08,0
2006-09,8
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,3
2007-12,5
2008-01,0
2008-02,2
2008-03,0
2008-04,2
2008-05,0
2008-06,3
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,2
2009-03,2
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,2
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,4
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,1
2011-04,1
2011-05,12
2011-06,36
2011-07,38
2011-08,66
2011-09,71
2011-10,65
2011-11,72
2011-12,89
2012-01,100
2012-02,92
2012-03,70
2012-04,80
2012-05,65
2012-06,55
2012-07,48
2012-08,49
2012-09,54
2012-10,37
2012-11,51
2012-12,40
2013-01,35
2013-02,33
2013-03,34
2013-04,29
2013-05,27
2013-06,24
2013-07,23
2013-08,23
2013-09,18
2013-10,20
2013-11,21
2013-12,20
2014-01,15
2014-02,19
2014-03,19
2014-04,16
2014-05,13
2014-06,13
2014-07,10
2014-08,11
2014-09,10
2014-10,10
2014-11,8
2014-12,9
2015-01,9
2015-02,10
2015-03,10
2015-04,9
2015-05,10
2015-06,10
2015-07,6
2015-08,8
2015-09,8
2015-10,7
2015-11,8
2015-12,7
2016-01,6
2016-02,7
2016-03,6
2016-04,6
2016-05,6
2016-06,5
2016-07,6
2016-08,4
2016-09,4
2016-10,5
2016-11,4
2016-12,4
2017-01,5
2017-02,4
2017-03,5
2017-04,5
2017-05,5
2017-06,4
2017-07,2
2017-08,3
2017-09,3
2017-10,4
2017-11,3
2017-12,2
2018-01,2
2018-02,3
2018-03,4
2018-04,4
2018-05,4
2018-06,3
2018-07,2
2018-08,3
2018-09,3
2018-10,3
2018-11,1
2018-12,3
2019-01,3
2019-02,2
2019-03,2
2019-04,2
2019-05,1
2019-06,1
2019-07,2
2019-08,3
2019-09,2
2019-10,1
2019-11,2
2019-12,2
2020-01,2
2020-02,2
2020-03,2
2020-04,2
2020-05,2
2020-06,1
2020-07,2
2020-08,2
2020-09,1
2020-10,1
2020-11,1
2020-12,1
2021-01,2
2021-02,1
2021-03,2
2021-04,2
2021-05,2
2021-06,2
2021-07,1
2021-08,1
2021-09,1
2021-10,1
2021-11,1
2021-12,<1
2022-01,0
2022-02,1
2022-03,2
2022-04,2
2022-05,1
2022-06,1
2022-07,1
2022-08,1
2022-09,1
2022-10,2
2022-11,1
2022-12,2
2023-01,2
2023-02,1
2023-03,1
2023-04,1
2023-05,2
2023-06,1
2023-07,1
2023-08,0
2023-09,2
2023-10,0
