Month,creepypasta: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,<1
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,1
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,<1
2006-03,0
2006-04,0
2006-05,<1
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,<1
2007-06,0
2007-07,0
2007-08,0
2007-09,<1
2007-10,<1
2007-11,<1
2007-12,1
2008-01,<1
2008-02,<1
2008-03,<1
2008-04,1
2008-05,1
2008-06,1
2008-07,1
2008-08,1
2008-09,1
2008-10,1
2008-11,1
2008-12,1
2009-01,1
2009-02,1
2009-03,1
2009-04,1
2009-05,1
2009-06,1
2009-07,1
2009-08,2
2009-09,1
2009-10,2
2009-11,1
2009-12,1
2010-01,1
2010-02,1
2010-03,2
2010-04,2
2010-05,2
2010-06,2
2010-07,3
2010-08,5
2010-09,5
2010-10,5
2010-11,5
2010-12,5
2011-01,5
2011-02,5
2011-03,6
2011-04,6
2011-05,6
2011-06,7
2011-07,9
2011-08,9
2011-09,8
2011-10,11
2011-11,11
2011-12,11
2012-01,12
2012-02,14
2012-03,15
2012-04,18
2012-05,22
2012-06,21
2012-07,27
2012-08,26
2012-09,25
2012-10,28
2012-11,25
2012-12,28
2013-01,31
2013-02,38
2013-03,42
2013-04,41
2013-05,48
2013-06,49
2013-07,60
2013-08,52
2013-09,44
2013-10,52
2013-11,50
2013-12,50
2014-01,50
2014-02,55
2014-03,60
2014-04,64
2014-05,68
2014-06,100
2014-07,65
2014-08,60
2014-09,59
2014-10,59
2014-11,53
2014-12,48
2015-01,47
2015-02,45
2015-03,48
2015-04,44
2015-05,49
2015-06,49
2015-07,46
2015-08,41
2015-09,40
2015-10,46
2015-11,40
2015-12,36
2016-01,36
2016-02,33
2016-03,35
2016-04,33
2016-05,35
2016-06,33
2016-07,31
2016-08,25
2016-09,24
2016-10,31
2016-11,25
2016-12,22
2017-01,25
2017-02,25
2017-03,25
2017-04,23
2017-05,23
2017-06,20
2017-07,21
2017-08,17
2017-09,18
2017-10,21
2017-11,18
2017-12,18
2018-01,19
2018-02,18
2018-03,18
2018-04,17
2018-05,16
2018-06,19
2018-07,19
2018-08,19
2018-09,17
2018-10,18
2018-11,16
2018-12,15
2019-01,15
2019-02,16
2019-03,17
2019-04,16
2019-05,18
2019-06,19
2019-07,19
2019-08,17
2019-09,18
2019-10,20
2019-11,17
2019-12,15
2020-01,16
2020-02,17
2020-03,17
2020-04,19
2020-05,18
2020-06,17
2020-07,20
2020-08,21
2020-09,19
2020-10,17
2020-11,15
2020-12,14
2021-01,15
2021-02,16
2021-03,14
2021-04,14
2021-05,14
2021-06,15
2021-07,16
2021-08,13
2021-09,14
2021-10,16
2021-11,15
2021-12,14
2022-01,13
2022-02,14
2022-03,13
2022-04,15
2022-05,20
2022-06,14
2022-07,15
2022-08,13
2022-09,13
2022-10,15
2022-11,12
2022-12,10
2023-01,13
2023-02,13
2023-03,12
2023-04,12
2023-05,13
2023-06,12
2023-07,14
2023-08,11
2023-09,12
2023-10,12
