Month,impossibru: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,15
2004-05,0
2004-06,0
2004-07,14
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,7
2005-03,0
2005-04,23
2005-05,0
2005-06,0
2005-07,0
2005-08,6
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,14
2006-07,0
2006-08,9
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,2
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,2
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,2
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,3
2010-08,4
2010-09,4
2010-10,5
2010-11,3
2010-12,5
2011-01,8
2011-02,6
2011-03,6
2011-04,6
2011-05,11
2011-06,13
2011-07,15
2011-08,19
2011-09,15
2011-10,15
2011-11,63
2011-12,100
2012-01,83
2012-02,85
2012-03,84
2012-04,94
2012-05,68
2012-06,61
2012-07,47
2012-08,51
2012-09,55
2012-10,60
2012-11,53
2012-12,51
2013-01,51
2013-02,52
2013-03,50
2013-04,48
2013-05,45
2013-06,40
2013-07,40
2013-08,46
2013-09,37
2013-10,37
2013-11,32
2013-12,35
2014-01,31
2014-02,28
2014-03,32
2014-04,28
2014-05,26
2014-06,31
2014-07,22
2014-08,23
2014-09,27
2014-10,22
2014-11,23
2014-12,20
2015-01,22
2015-02,25
2015-03,21
2015-04,18
2015-05,18
2015-06,23
2015-07,19
2015-08,19
2015-09,17
2015-10,18
2015-11,21
2015-12,19
2016-01,15
2016-02,14
2016-03,15
2016-04,16
2016-05,15
2016-06,15
2016-07,11
2016-08,13
2016-09,9
2016-10,11
2016-11,13
2016-12,12
2017-01,11
2017-02,14
2017-03,9
2017-04,9
2017-05,9
2017-06,8
2017-07,5
2017-08,5
2017-09,7
2017-10,5
2017-11,7
2017-12,7
2018-01,6
2018-02,6
2018-03,7
2018-04,5
2018-05,5
2018-06,5
2018-07,6
2018-08,5
2018-09,4
2018-10,4
2018-11,4
2018-12,6
2019-01,3
2019-02,5
2019-03,5
2019-04,7
2019-05,3
2019-06,4
2019-07,3
2019-08,4
2019-09,4
2019-10,4
2019-11,4
2019-12,4
2020-01,3
2020-02,4
2020-03,3
2020-04,5
2020-05,3
2020-06,3
2020-07,4
2020-08,2
2020-09,2
2020-10,2
2020-11,2
2020-12,2
2021-01,2
2021-02,3
2021-03,2
2021-04,2
2021-05,1
2021-06,2
2021-07,1
2021-08,1
2021-09,2
2021-10,2
2021-11,1
2021-12,1
2022-01,2
2022-02,1
2022-03,2
2022-04,2
2022-05,2
2022-06,1
2022-07,2
2022-08,2
2022-09,1
2022-10,1
2022-11,1
2022-12,2
2023-01,2
2023-02,2
2023-03,2
2023-04,1
2023-05,3
2023-06,1
2023-07,1
2023-08,2
2023-09,1
2023-10,0
