Month,distracted boyfriend: (United States)
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,8
2007-09,0
2007-10,0
2007-11,0
2007-12,5
2008-01,0
2008-02,0
2008-03,5
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,11
2009-01,0
2009-02,0
2009-03,0
2009-04,4
2009-05,0
2009-06,6
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,3
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,4
2011-07,0
2011-08,0
2011-09,0
2011-10,3
2011-11,0
2011-12,3
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,3
2012-06,0
2012-07,0
2012-08,0
2012-09,2
2012-10,4
2012-11,0
2012-12,0
2013-01,2
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,2
2013-11,0
2013-12,0
2014-01,1
2014-02,0
2014-03,0
2014-04,1
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,2
2014-10,4
2014-11,0
2014-12,0
2015-01,4
2015-02,0
2015-03,2
2015-04,0
2015-05,0
2015-06,2
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,3
2016-01,1
2016-02,2
2016-03,0
2016-04,2
2016-05,2
2016-06,0
2016-07,2
2016-08,0
2016-09,2
2016-10,0
2016-11,2
2016-12,3
2017-01,0
2017-02,4
2017-03,1
2017-04,2
2017-05,1
2017-06,5
2017-07,3
2017-08,92
2017-09,100
2017-10,52
2017-11,42
2017-12,39
2018-01,36
2018-02,27
2018-03,32
2018-04,34
2018-05,35
2018-06,41
2018-07,52
2018-08,36
2018-09,61
2018-10,70
2018-11,47
2018-12,37
2019-01,37
2019-02,51
2019-03,58
2019-04,45
2019-05,39
2019-06,30
2019-07,34
2019-08,36
2019-09,37
2019-10,33
2019-11,37
2019-12,34
2020-01,30
2020-02,27
2020-03,27
2020-04,48
2020-05,30
2020-06,23
2020-07,25
2020-08,24
2020-09,25
2020-10,21
2020-11,22
2020-12,17
2021-01,15
2021-02,21
2021-03,28
2021-04,16
2021-05,16
2021-06,33
2021-07,21
2021-08,15
2021-09,12
2021-10,13
2021-11,10
2021-12,10
2022-01,15
2022-02,17
2022-03,13
2022-04,14
2022-05,20
2022-06,14
2022-07,18
2022-08,15
2022-09,18
2022-10,20
2022-11,25
2022-12,16
2023-01,15
2023-02,15
2023-03,18
2023-04,17
2023-05,12
2023-06,12
2023-07,14
2023-08,8
2023-09,13
2023-10,21
