Month,kek: (United States)
2004-01,8
2004-02,16
2004-03,7
2004-04,9
2004-05,9
2004-06,5
2004-07,7
2004-08,12
2004-09,0
2004-10,3
2004-11,12
2004-12,11
2005-01,9
2005-02,17
2005-03,8
2005-04,4
2005-05,9
2005-06,6
2005-07,9
2005-08,7
2005-09,14
2005-10,16
2005-11,8
2005-12,12
2006-01,12
2006-02,13
2006-03,18
2006-04,15
2006-05,9
2006-06,14
2006-07,6
2006-08,13
2006-09,14
2006-10,12
2006-11,12
2006-12,16
2007-01,18
2007-02,15
2007-03,13
2007-04,10
2007-05,19
2007-06,12
2007-07,12
2007-08,18
2007-09,11
2007-10,16
2007-11,13
2007-12,14
2008-01,16
2008-02,18
2008-03,20
2008-04,17
2008-05,10
2008-06,11
2008-07,12
2008-08,10
2008-09,11
2008-10,17
2008-11,14
2008-12,17
2009-01,13
2009-02,14
2009-03,16
2009-04,18
2009-05,16
2009-06,13
2009-07,13
2009-08,14
2009-09,20
2009-10,24
2009-11,19
2009-12,28
2010-01,29
2010-02,35
2010-03,27
2010-04,25
2010-05,28
2010-06,23
2010-07,22
2010-08,24
2010-09,28
2010-10,35
2010-11,33
2010-12,36
2011-01,15
2011-02,17
2011-03,16
2011-04,13
2011-05,12
2011-06,12
2011-07,12
2011-08,13
2011-09,12
2011-10,12
2011-11,12
2011-12,13
2012-01,11
2012-02,12
2012-03,12
2012-04,13
2012-05,13
2012-06,13
2012-07,14
2012-08,12
2012-09,13
2012-10,14
2012-11,14
2012-12,17
2013-01,18
2013-02,18
2013-03,18
2013-04,17
2013-05,16
2013-06,21
2013-07,19
2013-08,20
2013-09,19
2013-10,19
2013-11,26
2013-12,25
2014-01,26
2014-02,29
2014-03,31
2014-04,35
2014-05,43
2014-06,54
2014-07,70
2014-08,67
2014-09,66
2014-10,70
2014-11,75
2014-12,77
2015-01,85
2015-02,99
2015-03,89
2015-04,90
2015-05,90
2015-06,82
2015-07,64
2015-08,62
2015-09,63
2015-10,77
2015-11,100
2015-12,99
2016-01,54
2016-02,50
2016-03,53
2016-04,52
2016-05,51
2016-06,55
2016-07,55
2016-08,53
2016-09,73
2016-10,61
2016-11,97
2016-12,71
2017-01,81
2017-02,91
2017-03,90
2017-04,89
2017-05,89
2017-06,75
2017-07,68
2017-08,55
2017-09,71
2017-10,48
2017-11,44
2017-12,39
2018-01,40
2018-02,35
2018-03,40
2018-04,34
2018-05,32
2018-06,31
2018-07,38
2018-08,36
2018-09,32
2018-10,30
2018-11,30
2018-12,27
2019-01,27
2019-02,28
2019-03,27
2019-04,23
2019-05,29
2019-06,27
2019-07,23
2019-08,25
2019-09,27
2019-10,32
2019-11,26
2019-12,27
2020-01,29
2020-02,31
2020-03,33
2020-04,39
2020-05,35
2020-06,38
2020-07,36
2020-08,35
2020-09,34
2020-10,34
2020-11,31
2020-12,33
2021-01,46
2021-02,31
2021-03,29
2021-04,29
2021-05,25
2021-06,25
2021-07,26
2021-08,23
2021-09,25
2021-10,25
2021-11,26
2021-12,23
2022-01,28
2022-02,25
2022-03,24
2022-04,27
2022-05,25
2022-06,24
2022-07,25
2022-08,22
2022-09,20
2022-10,22
2022-11,22
2022-12,32
2023-01,25
2023-02,26
2023-03,21
2023-04,25
2023-05,23
2023-06,22
2023-07,21
2023-08,19
2023-09,20
2023-10,23
