Month,rule 34: (United States)
2004-01,0
2004-02,0
2004-03,<1
2004-04,<1
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,<1
2004-11,0
2004-12,0
2005-01,0
2005-02,<1
2005-03,0
2005-04,<1
2005-05,<1
2005-06,<1
2005-07,<1
2005-08,0
2005-09,0
2005-10,<1
2005-11,<1
2005-12,<1
2006-01,<1
2006-02,<1
2006-03,<1
2006-04,<1
2006-05,<1
2006-06,<1
2006-07,<1
2006-08,<1
2006-09,<1
2006-10,<1
2006-11,<1
2006-12,<1
2007-01,<1
2007-02,1
2007-03,1
2007-04,1
2007-05,1
2007-06,1
2007-07,1
2007-08,3
2007-09,3
2007-10,4
2007-11,5
2007-12,6
2008-01,6
2008-02,6
2008-03,7
2008-04,9
2008-05,10
2008-06,10
2008-07,12
2008-08,12
2008-09,11
2008-10,10
2008-11,14
2008-12,13
2009-01,12
2009-02,12
2009-03,11
2009-04,10
2009-05,12
2009-06,14
2009-07,14
2009-08,15
2009-09,14
2009-10,15
2009-11,16
2009-12,15
2010-01,17
2010-02,17
2010-03,14
2010-04,14
2010-05,14
2010-06,15
2010-07,15
2010-08,15
2010-09,15
2010-10,15
2010-11,17
2010-12,18
2011-01,23
2011-02,24
2011-03,23
2011-04,25
2011-05,25
2011-06,30
2011-07,31
2011-08,30
2011-09,30
2011-10,29
2011-11,28
2011-12,31
2012-01,32
2012-02,31
2012-03,33
2012-04,37
2012-05,38
2012-06,43
2012-07,45
2012-08,45
2012-09,41
2012-10,44
2012-11,47
2012-12,50
2013-01,50
2013-02,46
2013-03,49
2013-04,46
2013-05,50
2013-06,56
2013-07,60
2013-08,53
2013-09,48
2013-10,47
2013-11,50
2013-12,56
2014-01,53
2014-02,47
2014-03,52
2014-04,50
2014-05,50
2014-06,52
2014-07,52
2014-08,54
2014-09,43
2014-10,43
2014-11,45
2014-12,44
2015-01,42
2015-02,39
2015-03,38
2015-04,38
2015-05,43
2015-06,44
2015-07,44
2015-08,43
2015-09,39
2015-10,36
2015-11,38
2015-12,39
2016-01,26
2016-02,23
2016-03,25
2016-04,24
2016-05,27
2016-06,31
2016-07,27
2016-08,24
2016-09,21
2016-10,21
2016-11,21
2016-12,21
2017-01,22
2017-02,22
2017-03,23
2017-04,24
2017-05,23
2017-06,21
2017-07,23
2017-08,21
2017-09,20
2017-10,21
2017-11,21
2017-12,22
2018-01,20
2018-02,21
2018-03,21
2018-04,19
2018-05,21
2018-06,25
2018-07,27
2018-08,25
2018-09,25
2018-10,24
2018-11,25
2018-12,27
2019-01,25
2019-02,26
2019-03,27
2019-04,28
2019-05,27
2019-06,32
2019-07,29
2019-08,29
2019-09,27
2019-10,27
2019-11,29
2019-12,31
2020-01,29
2020-02,29
2020-03,31
2020-04,32
2020-05,33
2020-06,36
2020-07,40
2020-08,47
2020-09,45
2020-10,51
2020-11,52
2020-12,59
2021-01,65
2021-02,66
2021-03,91
2021-04,89
2021-05,99
2021-06,100
2021-07,85
2021-08,77
2021-09,73
2021-10,71
2021-11,74
2021-12,77
2022-01,58
2022-02,57
2022-03,54
2022-04,63
2022-05,67
2022-06,79
2022-07,78
2022-08,69
2022-09,60
2022-10,65
2022-11,65
2022-12,79
2023-01,72
2023-02,75
2023-03,74
2023-04,78
2023-05,76
2023-06,87
2023-07,90
2023-08,74
2023-09,69
2023-10,71
