Month,insanity wolf: (United States)
2004-01,10
2004-02,9
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,11
2004-09,0
2004-10,21
2004-11,20
2004-12,0
2005-01,0
2005-02,6
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,6
2005-11,6
2005-12,0
2006-01,0
2006-02,5
2006-03,5
2006-04,0
2006-05,0
2006-06,0
2006-07,18
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,2
2007-07,0
2007-08,2
2007-09,0
2007-10,0
2007-11,0
2007-12,5
2008-01,0
2008-02,3
2008-03,5
2008-04,0
2008-05,2
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,3
2009-05,2
2009-06,2
2009-07,3
2009-08,0
2009-09,8
2009-10,11
2009-11,12
2009-12,25
2010-01,27
2010-02,26
2010-03,25
2010-04,22
2010-05,25
2010-06,28
2010-07,31
2010-08,41
2010-09,38
2010-10,50
2010-11,60
2010-12,83
2011-01,77
2011-02,75
2011-03,72
2011-04,58
2011-05,49
2011-06,41
2011-07,40
2011-08,53
2011-09,57
2011-10,69
2011-11,81
2011-12,100
2012-01,79
2012-02,95
2012-03,75
2012-04,80
2012-05,66
2012-06,57
2012-07,47
2012-08,43
2012-09,41
2012-10,44
2012-11,44
2012-12,49
2013-01,36
2013-02,41
2013-03,33
2013-04,28
2013-05,27
2013-06,20
2013-07,32
2013-08,27
2013-09,25
2013-10,27
2013-11,31
2013-12,60
2014-01,38
2014-02,35
2014-03,26
2014-04,30
2014-05,31
2014-06,20
2014-07,19
2014-08,19
2014-09,17
2014-10,19
2014-11,16
2014-12,24
2015-01,17
2015-02,17
2015-03,15
2015-04,18
2015-05,16
2015-06,14
2015-07,14
2015-08,10
2015-09,16
2015-10,15
2015-11,11
2015-12,14
2016-01,12
2016-02,10
2016-03,12
2016-04,8
2016-05,8
2016-06,8
2016-07,5
2016-08,6
2016-09,9
2016-10,9
2016-11,9
2016-12,10
2017-01,6
2017-02,9
2017-03,8
2017-04,10
2017-05,4
2017-06,4
2017-07,4
2017-08,4
2017-09,5
2017-10,5
2017-11,5
2017-12,4
2018-01,5
2018-02,5
2018-03,4
2018-04,5
2018-05,6
2018-06,3
2018-07,4
2018-08,3
2018-09,4
2018-10,4
2018-11,4
2018-12,5
2019-01,3
2019-02,3
2019-03,3
2019-04,3
2019-05,3
2019-06,2
2019-07,2
2019-08,2
2019-09,2
2019-10,2
2019-11,2
2019-12,2
2020-01,1
2020-02,2
2020-03,2
2020-04,2
2020-05,2
2020-06,1
2020-07,2
2020-08,2
2020-09,2
2020-10,2
2020-11,1
2020-12,1
2021-01,1
2021-02,2
2021-03,0
2021-04,1
2021-05,2
2021-06,2
2021-07,1
2021-08,2
2021-09,1
2021-10,1
2021-11,1
2021-12,1
2022-01,0
2022-02,2
2022-03,1
2022-04,1
2022-05,<1
2022-06,1
2022-07,2
2022-08,<1
2022-09,2
2022-10,1
2022-11,1
2022-12,1
2023-01,1
2023-02,1
2023-03,1
2023-04,2
2023-05,1
2023-06,1
2023-07,1
2023-08,1
2023-09,1
2023-10,0
