Month,hide yo kids: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,20
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,4
2005-10,0
2005-11,0
2005-12,2
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,7
2006-07,3
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,3
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,6
2008-03,1
2008-04,0
2008-05,0
2008-06,0
2008-07,2
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,1
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,1
2009-12,0
2010-01,0
2010-02,0
2010-03,1
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,50
2010-09,97
2010-10,100
2010-11,72
2010-12,50
2011-01,47
2011-02,27
2011-03,21
2011-04,20
2011-05,13
2011-06,8
2011-07,87
2011-08,20
2011-09,13
2011-10,20
2011-11,14
2011-12,12
2012-01,11
2012-02,10
2012-03,13
2012-04,14
2012-05,11
2012-06,14
2012-07,15
2012-08,16
2012-09,16
2012-10,19
2012-11,17
2012-12,16
2013-01,19
2013-02,25
2013-03,23
2013-04,16
2013-05,26
2013-06,17
2013-07,20
2013-08,12
2013-09,12
2013-10,14
2013-11,15
2013-12,14
2014-01,13
2014-02,10
2014-03,14
2014-04,15
2014-05,11
2014-06,12
2014-07,10
2014-08,10
2014-09,34
2014-10,17
2014-11,14
2014-12,9
2015-01,11
2015-02,12
2015-03,11
2015-04,12
2015-05,11
2015-06,11
2015-07,14
2015-08,15
2015-09,14
2015-10,11
2015-11,10
2015-12,9
2016-01,13
2016-02,10
2016-03,8
2016-04,12
2016-05,9
2016-06,9
2016-07,7
2016-08,9
2016-09,9
2016-10,8
2016-11,8
2016-12,7
2017-01,9
2017-02,7
2017-03,6
2017-04,5
2017-05,6
2017-06,5
2017-07,8
2017-08,11
2017-09,11
2017-10,7
2017-11,6
2017-12,8
2018-01,5
2018-02,5
2018-03,5
2018-04,7
2018-05,6
2018-06,6
2018-07,7
2018-08,7
2018-09,7
2018-10,7
2018-11,6
2018-12,5
2019-01,7
2019-02,6
2019-03,5
2019-04,6
2019-05,6
2019-06,5
2019-07,7
2019-08,6
2019-09,6
2019-10,6
2019-11,6
2019-12,6
2020-01,5
2020-02,5
2020-03,10
2020-04,5
2020-05,5
2020-06,5
2020-07,4
2020-08,5
2020-09,3
2020-10,3
2020-11,4
2020-12,3
2021-01,4
2021-02,3
2021-03,3
2021-04,3
2021-05,2
2021-06,3
2021-07,3
2021-08,4
2021-09,3
2021-10,2
2021-11,2
2021-12,3
2022-01,2
2022-02,3
2022-03,4
2022-04,3
2022-05,3
2022-06,5
2022-07,4
2022-08,4
2022-09,5
2022-10,4
2022-11,4
2022-12,3
2023-01,3
2023-02,2
2023-03,3
2023-04,2
2023-05,3
2023-06,3
2023-07,3
2023-08,1
2023-09,4
2023-10,3
