Month,roll safe: (United States)
2004-01,0
2004-02,8
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,8
2004-09,0
2004-10,4
2004-11,5
2004-12,5
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,3
2005-06,4
2005-07,0
2005-08,2
2005-09,7
2005-10,0
2005-11,0
2005-12,0
2006-01,4
2006-02,4
2006-03,2
2006-04,2
2006-05,3
2006-06,0
2006-07,0
2006-08,2
2006-09,4
2006-10,0
2006-11,3
2006-12,3
2007-01,6
2007-02,2
2007-03,2
2007-04,2
2007-05,3
2007-06,1
2007-07,3
2007-08,2
2007-09,0
2007-10,1
2007-11,3
2007-12,2
2008-01,2
2008-02,3
2008-03,1
2008-04,0
2008-05,4
2008-06,2
2008-07,3
2008-08,3
2008-09,2
2008-10,4
2008-11,1
2008-12,3
2009-01,2
2009-02,2
2009-03,6
2009-04,3
2009-05,3
2009-06,5
2009-07,2
2009-08,4
2009-09,3
2009-10,5
2009-11,2
2009-12,4
2010-01,3
2010-02,4
2010-03,4
2010-04,4
2010-05,4
2010-06,4
2010-07,5
2010-08,4
2010-09,4
2010-10,4
2010-11,4
2010-12,3
2011-01,5
2011-02,5
2011-03,4
2011-04,5
2011-05,5
2011-06,6
2011-07,5
2011-08,4
2011-09,3
2011-10,4
2011-11,7
2011-12,4
2012-01,4
2012-02,8
2012-03,5
2012-04,6
2012-05,5
2012-06,6
2012-07,4
2012-08,5
2012-09,5
2012-10,3
2012-11,4
2012-12,6
2013-01,5
2013-02,7
2013-03,5
2013-04,6
2013-05,6
2013-06,6
2013-07,6
2013-08,5
2013-09,5
2013-10,4
2013-11,6
2013-12,7
2014-01,6
2014-02,5
2014-03,5
2014-04,6
2014-05,4
2014-06,7
2014-07,7
2014-08,7
2014-09,6
2014-10,6
2014-11,6
2014-12,6
2015-01,7
2015-02,8
2015-03,6
2015-04,5
2015-05,6
2015-06,5
2015-07,7
2015-08,6
2015-09,7
2015-10,7
2015-11,8
2015-12,7
2016-01,7
2016-02,7
2016-03,7
2016-04,7
2016-05,7
2016-06,7
2016-07,7
2016-08,6
2016-09,6
2016-10,7
2016-11,6
2016-12,6
2017-01,9
2017-02,100
2017-03,37
2017-04,23
2017-05,21
2017-06,16
2017-07,15
2017-08,12
2017-09,14
2017-10,16
2017-11,14
2017-12,16
2018-01,15
2018-02,13
2018-03,13
2018-04,11
2018-05,13
2018-06,10
2018-07,12
2018-08,10
2018-09,9
2018-10,9
2018-11,11
2018-12,10
2019-01,10
2019-02,11
2019-03,10
2019-04,9
2019-05,8
2019-06,9
2019-07,10
2019-08,8
2019-09,8
2019-10,8
2019-11,10
2019-12,9
2020-01,9
2020-02,9
2020-03,10
2020-04,11
2020-05,12
2020-06,10
2020-07,11
2020-08,11
2020-09,10
2020-10,10
2020-11,9
2020-12,9
2021-01,11
2021-02,10
2021-03,10
2021-04,10
2021-05,11
2021-06,10
2021-07,10
2021-08,10
2021-09,9
2021-10,9
2021-11,12
2021-12,11
2022-01,12
2022-02,12
2022-03,10
2022-04,12
2022-05,12
2022-06,12
2022-07,12
2022-08,11
2022-09,10
2022-10,11
2022-11,10
2022-12,12
2023-01,11
2023-02,11
2023-03,12
2023-04,12
2023-05,13
2023-06,12
2023-07,12
2023-08,12
2023-09,11
2023-10,14
