Month,my little pony friendship is magic: (United States)
2004-01,0
2004-02,0
2004-03,2
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,1
2004-09,1
2004-10,3
2004-11,1
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,1
2005-11,0
2005-12,0
2006-01,0
2006-02,1
2006-03,1
2006-04,1
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,<1
2006-11,0
2006-12,0
2007-01,1
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,1
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,<1
2008-09,0
2008-10,0
2008-11,0
2008-12,1
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,<1
2009-06,0
2009-07,0
2009-08,<1
2009-09,0
2009-10,0
2009-11,0
2009-12,<1
2010-01,0
2010-02,0
2010-03,0
2010-04,<1
2010-05,0
2010-06,0
2010-07,<1
2010-08,<1
2010-09,<1
2010-10,1
2010-11,2
2010-12,4
2011-01,7
2011-02,17
2011-03,25
2011-04,35
2011-05,39
2011-06,52
2011-07,64
2011-08,73
2011-09,86
2011-10,77
2011-11,73
2011-12,75
2012-01,83
2012-02,82
2012-03,80
2012-04,100
2012-05,78
2012-06,79
2012-07,88
2012-08,66
2012-09,55
2012-10,58
2012-11,73
2012-12,75
2013-01,74
2013-02,84
2013-03,74
2013-04,69
2013-05,68
2013-06,72
2013-07,80
2013-08,82
2013-09,65
2013-10,56
2013-11,73
2013-12,76
2014-01,80
2014-02,73
2014-03,65
2014-04,71
2014-05,61
2014-06,57
2014-07,57
2014-08,55
2014-09,41
2014-10,37
2014-11,38
2014-12,36
2015-01,36
2015-02,32
2015-03,35
2015-04,45
2015-05,39
2015-06,38
2015-07,39
2015-08,32
2015-09,30
2015-10,29
2015-11,29
2015-12,28
2016-01,25
2016-02,20
2016-03,22
2016-04,21
2016-05,21
2016-06,21
2016-07,19
2016-08,18
2016-09,17
2016-10,16
2016-11,12
2016-12,13
2017-01,11
2017-02,10
2017-03,10
2017-04,11
2017-05,11
2017-06,11
2017-07,10
2017-08,9
2017-09,8
2017-10,9
2017-11,6
2017-12,6
2018-01,5
2018-02,5
2018-03,5
2018-04,6
2018-05,6
2018-06,6
2018-07,5
2018-08,7
2018-09,5
2018-10,5
2018-11,4
2018-12,5
2019-01,3
2019-02,4
2019-03,4
2019-04,4
2019-05,4
2019-06,4
2019-07,5
2019-08,5
2019-09,4
2019-10,5
2019-11,3
2019-12,3
2020-01,3
2020-02,3
2020-03,3
2020-04,3
2020-05,3
2020-06,4
2020-07,3
2020-08,3
2020-09,3
2020-10,3
2020-11,2
2020-12,2
2021-01,2
2021-02,2
2021-03,2
2021-04,3
2021-05,2
2021-06,3
2021-07,3
2021-08,3
2021-09,3
2021-10,4
2021-11,4
2021-12,3
2022-01,3
2022-02,3
2022-03,3
2022-04,3
2022-05,3
2022-06,4
2022-07,3
2022-08,3
2022-09,3
2022-10,3
2022-11,3
2022-12,3
2023-01,3
2023-02,3
2023-03,3
2023-04,3
2023-05,3
2023-06,4
2023-07,5
2023-08,5
2023-09,4
2023-10,4
