Month,to be continued jojo: (United States)
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,20
2011-03,0
2011-04,0
2011-05,0
2011-06,7
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,9
2012-02,0
2012-03,16
2012-04,6
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,11
2012-10,15
2012-11,5
2012-12,0
2013-01,0
2013-02,0
2013-03,13
2013-04,0
2013-05,0
2013-06,0
2013-07,6
2013-08,0
2013-09,5
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,5
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,27
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,8
2015-03,0
2015-04,11
2015-05,0
2015-06,8
2015-07,0
2015-08,0
2015-09,0
2015-10,5
2015-11,21
2015-12,0
2016-01,16
2016-02,24
2016-03,32
2016-04,48
2016-05,100
2016-06,92
2016-07,52
2016-08,45
2016-09,39
2016-10,33
2016-11,42
2016-12,36
2017-01,46
2017-02,36
2017-03,45
2017-04,38
2017-05,20
2017-06,11
2017-07,12
2017-08,26
2017-09,24
2017-10,23
2017-11,11
2017-12,22
2018-01,39
2018-02,28
2018-03,27
2018-04,21
2018-05,19
2018-06,8
2018-07,20
2018-08,20
2018-09,22
2018-10,25
2018-11,27
2018-12,22
2019-01,26
2019-02,29
2019-03,34
2019-04,59
2019-05,32
2019-06,35
2019-07,31
2019-08,50
2019-09,40
2019-10,38
2019-11,38
2019-12,35
2020-01,35
2020-02,29
2020-03,34
2020-04,23
2020-05,30
2020-06,27
2020-07,27
2020-08,33
2020-09,29
2020-10,23
2020-11,13
2020-12,22
2021-01,20
2021-02,24
2021-03,13
2021-04,18
2021-05,18
2021-06,21
2021-07,26
2021-08,16
2021-09,9
2021-10,18
2021-11,16
2021-12,21
2022-01,28
2022-02,20
2022-03,29
2022-04,19
2022-05,33
2022-06,15
2022-07,17
2022-08,12
2022-09,19
2022-10,13
2022-11,20
2022-12,18
2023-01,7
2023-02,23
2023-03,13
2023-04,21
2023-05,16
2023-06,5
2023-07,16
2023-08,11
2023-09,13
2023-10,7
