Month,picard facepalm: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,43
2005-02,32
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,30
2005-10,0
2005-11,0
2005-12,0
2006-01,46
2006-02,15
2006-03,0
2006-04,0
2006-05,32
2006-06,0
2006-07,18
2006-08,0
2006-09,49
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,10
2007-09,27
2007-10,20
2007-11,0
2007-12,15
2008-01,0
2008-02,19
2008-03,26
2008-04,14
2008-05,22
2008-06,26
2008-07,18
2008-08,41
2008-09,46
2008-10,19
2008-11,10
2008-12,41
2009-01,43
2009-02,16
2009-03,30
2009-04,51
2009-05,42
2009-06,52
2009-07,33
2009-08,31
2009-09,37
2009-10,45
2009-11,54
2009-12,60
2010-01,44
2010-02,47
2010-03,43
2010-04,69
2010-05,60
2010-06,57
2010-07,60
2010-08,33
2010-09,46
2010-10,41
2010-11,24
2010-12,36
2011-01,57
2011-02,53
2011-03,47
2011-04,44
2011-05,49
2011-06,51
2011-07,46
2011-08,39
2011-09,62
2011-10,67
2011-11,54
2011-12,55
2012-01,53
2012-02,80
2012-03,66
2012-04,56
2012-05,53
2012-06,62
2012-07,64
2012-08,90
2012-09,76
2012-10,67
2012-11,64
2012-12,69
2013-01,78
2013-02,70
2013-03,75
2013-04,63
2013-05,100
2013-06,96
2013-07,91
2013-08,74
2013-09,70
2013-10,73
2013-11,68
2013-12,62
2014-01,72
2014-02,64
2014-03,75
2014-04,76
2014-05,77
2014-06,99
2014-07,91
2014-08,73
2014-09,81
2014-10,79
2014-11,65
2014-12,79
2015-01,70
2015-02,66
2015-03,65
2015-04,63
2015-05,59
2015-06,73
2015-07,69
2015-08,46
2015-09,70
2015-10,65
2015-11,66
2015-12,64
2016-01,34
2016-02,37
2016-03,38
2016-04,39
2016-05,44
2016-06,54
2016-07,46
2016-08,48
2016-09,62
2016-10,45
2016-11,39
2016-12,41
2017-01,74
2017-02,48
2017-03,33
2017-04,35
2017-05,36
2017-06,40
2017-07,26
2017-08,43
2017-09,34
2017-10,38
2017-11,39
2017-12,31
2018-01,22
2018-02,27
2018-03,31
2018-04,29
2018-05,34
2018-06,28
2018-07,27
2018-08,33
2018-09,28
2018-10,25
2018-11,22
2018-12,28
2019-01,23
2019-02,25
2019-03,23
2019-04,21
2019-05,25
2019-06,27
2019-07,23
2019-08,15
2019-09,15
2019-10,22
2019-11,20
2019-12,16
2020-01,17
2020-02,18
2020-03,26
2020-04,24
2020-05,18
2020-06,23
2020-07,20
2020-08,15
2020-09,14
2020-10,10
2020-11,10
2020-12,11
2021-01,11
2021-02,13
2021-03,11
2021-04,12
2021-05,9
2021-06,14
2021-07,9
2021-08,7
2021-09,10
2021-10,7
2021-11,11
2021-12,10
2022-01,5
2022-02,7
2022-03,7
2022-04,10
2022-05,10
2022-06,16
2022-07,7
2022-08,7
2022-09,9
2022-10,5
2022-11,6
2022-12,7
2023-01,11
2023-02,6
2023-03,9
2023-04,8
2023-05,5
2023-06,9
2023-07,6
2023-08,8
2023-09,9
2023-10,7
