Month,navy seal copypasta: (United States)
2008-10,0
2008-11,4
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,4
2009-08,19
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,2
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,2
2011-04,0
2011-05,0
2011-06,2
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,4
2012-06,7
2012-07,11
2012-08,17
2012-09,19
2012-10,22
2012-11,21
2012-12,19
2013-01,23
2013-02,32
2013-03,32
2013-04,28
2013-05,51
2013-06,64
2013-07,41
2013-08,54
2013-09,38
2013-10,37
2013-11,42
2013-12,42
2014-01,47
2014-02,47
2014-03,44
2014-04,51
2014-05,47
2014-06,50
2014-07,71
2014-08,80
2014-09,56
2014-10,77
2014-11,73
2014-12,81
2015-01,80
2015-02,80
2015-03,84
2015-04,81
2015-05,92
2015-06,72
2015-07,81
2015-08,74
2015-09,64
2015-10,76
2015-11,64
2015-12,83
2016-01,68
2016-02,79
2016-03,83
2016-04,94
2016-05,98
2016-06,85
2016-07,69
2016-08,68
2016-09,69
2016-10,81
2016-11,63
2016-12,64
2017-01,70
2017-02,61
2017-03,71
2017-04,80
2017-05,72
2017-06,63
2017-07,56
2017-08,56
2017-09,56
2017-10,54
2017-11,56
2017-12,48
2018-01,60
2018-02,64
2018-03,51
2018-04,50
2018-05,51
2018-06,43
2018-07,55
2018-08,48
2018-09,47
2018-10,52
2018-11,100
2018-12,36
2019-01,40
2019-02,43
2019-03,66
2019-04,60
2019-05,57
2019-06,58
2019-07,50
2019-08,47
2019-09,46
2019-10,42
2019-11,50
2019-12,50
2020-01,47
2020-02,63
2020-03,57
2020-04,73
2020-05,79
2020-06,60
2020-07,51
2020-08,53
2020-09,54
2020-10,43
2020-11,38
2020-12,40
2021-01,44
2021-02,34
2021-03,40
2021-04,32
2021-05,33
2021-06,29
2021-07,28
2021-08,27
2021-09,26
2021-10,23
2021-11,27
2021-12,19
2022-01,24
2022-02,25
2022-03,26
2022-04,23
2022-05,23
2022-06,22
2022-07,17
2022-08,27
2022-09,20
2022-10,27
2022-11,13
2022-12,23
2023-01,21
2023-02,28
2023-03,24
2023-04,26
2023-05,21
2023-06,16
2023-07,21
2023-08,22
2023-09,20
2023-10,22
