Month,sfw porn: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,26
2004-07,0
2004-08,26
2004-09,21
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,37
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,18
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,35
2008-02,0
2008-03,20
2008-04,10
2008-05,9
2008-06,13
2008-07,13
2008-08,12
2008-09,100
2008-10,100
2008-11,47
2008-12,28
2009-01,32
2009-02,28
2009-03,39
2009-04,35
2009-05,28
2009-06,35
2009-07,26
2009-08,26
2009-09,46
2009-10,19
2009-11,32
2009-12,27
2010-01,25
2010-02,25
2010-03,25
2010-04,23
2010-05,28
2010-06,24
2010-07,20
2010-08,20
2010-09,21
2010-10,25
2010-11,33
2010-12,24
2011-01,32
2011-02,25
2011-03,20
2011-04,28
2011-05,26
2011-06,19
2011-07,22
2011-08,22
2011-09,25
2011-10,24
2011-11,27
2011-12,28
2012-01,31
2012-02,27
2012-03,32
2012-04,42
2012-05,43
2012-06,38
2012-07,34
2012-08,27
2012-09,26
2012-10,34
2012-11,37
2012-12,46
2013-01,55
2013-02,32
2013-03,40
2013-04,43
2013-05,37
2013-06,41
2013-07,35
2013-08,34
2013-09,25
2013-10,29
2013-11,35
2013-12,33
2014-01,34
2014-02,35
2014-03,36
2014-04,36
2014-05,35
2014-06,30
2014-07,36
2014-08,35
2014-09,24
2014-10,28
2014-11,26
2014-12,30
2015-01,28
2015-02,22
2015-03,32
2015-04,20
2015-05,23
2015-06,32
2015-07,42
2015-08,31
2015-09,21
2015-10,21
2015-11,26
2015-12,22
2016-01,18
2016-02,20
2016-03,19
2016-04,16
2016-05,22
2016-06,15
2016-07,14
2016-08,13
2016-09,15
2016-10,10
2016-11,15
2016-12,14
2017-01,18
2017-02,18
2017-03,16
2017-04,16
2017-05,15
2017-06,16
2017-07,18
2017-08,13
2017-09,14
2017-10,13
2017-11,14
2017-12,10
2018-01,12
2018-02,9
2018-03,9
2018-04,12
2018-05,9
2018-06,9
2018-07,11
2018-08,8
2018-09,14
2018-10,11
2018-11,13
2018-12,15
2019-01,12
2019-02,8
2019-03,12
2019-04,7
2019-05,8
2019-06,8
2019-07,12
2019-08,10
2019-09,10
2019-10,8
2019-11,10
2019-12,9
2020-01,6
2020-02,9
2020-03,6
2020-04,8
2020-05,8
2020-06,6
2020-07,8
2020-08,9
2020-09,8
2020-10,3
2020-11,7
2020-12,7
2021-01,7
2021-02,12
2021-03,10
2021-04,8
2021-05,10
2021-06,11
2021-07,2
2021-08,10
2021-09,7
2021-10,7
2021-11,4
2021-12,10
2022-01,11
2022-02,11
2022-03,8
2022-04,4
2022-05,4
2022-06,6
2022-07,7
2022-08,5
2022-09,5
2022-10,6
2022-11,5
2022-12,5
2023-01,5
2023-02,3
2023-03,6
2023-04,9
2023-05,4
2023-06,5
2023-07,3
2023-08,5
2023-09,6
2023-10,0
