Month,hide the pain harold: (United States)
2004-01,0
2004-02,0
2004-03,77
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,23
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,35
2006-02,0
2006-03,21
2006-04,0
2006-05,0
2006-06,0
2006-07,27
2006-08,15
2006-09,20
2006-10,0
2006-11,11
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,8
2008-06,8
2008-07,0
2008-08,7
2008-09,0
2008-10,10
2008-11,0
2008-12,0
2009-01,0
2009-02,5
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,5
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,14
2010-04,0
2010-05,0
2010-06,14
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,13
2011-01,0
2011-02,0
2011-03,4
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,6
2012-01,0
2012-02,0
2012-03,4
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,3
2012-09,0
2012-10,0
2012-11,0
2012-12,3
2013-01,2
2013-02,3
2013-03,0
2013-04,2
2013-05,0
2013-06,5
2013-07,0
2013-08,4
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,3
2014-05,0
2014-06,0
2014-07,0
2014-08,3
2014-09,14
2014-10,14
2014-11,5
2014-12,15
2015-01,14
2015-02,8
2015-03,9
2015-04,11
2015-05,22
2015-06,7
2015-07,7
2015-08,13
2015-09,11
2015-10,15
2015-11,9
2015-12,25
2016-01,19
2016-02,20
2016-03,20
2016-04,23
2016-05,21
2016-06,30
2016-07,15
2016-08,24
2016-09,31
2016-10,27
2016-11,18
2016-12,22
2017-01,25
2017-02,28
2017-03,22
2017-04,30
2017-05,39
2017-06,65
2017-07,31
2017-08,47
2017-09,42
2017-10,46
2017-11,45
2017-12,35
2018-01,30
2018-02,47
2018-03,95
2018-04,52
2018-05,83
2018-06,82
2018-07,41
2018-08,53
2018-09,49
2018-10,51
2018-11,59
2018-12,64
2019-01,80
2019-02,57
2019-03,43
2019-04,42
2019-05,41
2019-06,64
2019-07,64
2019-08,75
2019-09,59
2019-10,62
2019-11,69
2019-12,57
2020-01,65
2020-02,47
2020-03,43
2020-04,41
2020-05,74
2020-06,100
2020-07,65
2020-08,69
2020-09,59
2020-10,33
2020-11,42
2020-12,91
2021-01,37
2021-02,56
2021-03,41
2021-04,44
2021-05,40
2021-06,59
2021-07,32
2021-08,28
2021-09,41
2021-10,34
2021-11,31
2021-12,35
2022-01,41
2022-02,49
2022-03,32
2022-04,37
2022-05,32
2022-06,47
2022-07,31
2022-08,37
2022-09,41
2022-10,35
2022-11,35
2022-12,40
2023-01,32
2023-02,29
2023-03,31
2023-04,36
2023-05,46
2023-06,40
2023-07,31
2023-08,33
2023-09,39
2023-10,40
