Month,absolute unit: (United States)
2006-10,5
2006-11,0
2006-12,5
2007-01,0
2007-02,5
2007-03,5
2007-04,7
2007-05,0
2007-06,2
2007-07,9
2007-08,6
2007-09,6
2007-10,5
2007-11,12
2007-12,4
2008-01,4
2008-02,7
2008-03,3
2008-04,2
2008-05,2
2008-06,4
2008-07,0
2008-08,2
2008-09,5
2008-10,5
2008-11,4
2008-12,4
2009-01,4
2009-02,6
2009-03,4
2009-04,4
2009-05,2
2009-06,7
2009-07,3
2009-08,7
2009-09,8
2009-10,6
2009-11,3
2009-12,4
2010-01,2
2010-02,3
2010-03,8
2010-04,5
2010-05,3
2010-06,3
2010-07,2
2010-08,5
2010-09,6
2010-10,9
2010-11,3
2010-12,4
2011-01,8
2011-02,6
2011-03,9
2011-04,7
2011-05,4
2011-06,4
2011-07,2
2011-08,4
2011-09,9
2011-10,5
2011-11,8
2011-12,3
2012-01,7
2012-02,7
2012-03,5
2012-04,10
2012-05,5
2012-06,6
2012-07,5
2012-08,5
2012-09,12
2012-10,9
2012-11,11
2012-12,7
2013-01,7
2013-02,11
2013-03,9
2013-04,8
2013-05,7
2013-06,6
2013-07,3
2013-08,5
2013-09,15
2013-10,14
2013-11,9
2013-12,8
2014-01,13
2014-02,11
2014-03,9
2014-04,8
2014-05,11
2014-06,7
2014-07,4
2014-08,9
2014-09,21
2014-10,13
2014-11,11
2014-12,9
2015-01,13
2015-02,11
2015-03,11
2015-04,11
2015-05,9
2015-06,6
2015-07,5
2015-08,8
2015-09,18
2015-10,17
2015-11,12
2015-12,10
2016-01,11
2016-02,13
2016-03,14
2016-04,14
2016-05,12
2016-06,7
2016-07,3
2016-08,8
2016-09,19
2016-10,15
2016-11,9
2016-12,10
2017-01,13
2017-02,16
2017-03,12
2017-04,12
2017-05,9
2017-06,6
2017-07,5
2017-08,8
2017-09,18
2017-10,13
2017-11,13
2017-12,10
2018-01,34
2018-02,43
2018-03,40
2018-04,62
2018-05,100
2018-06,69
2018-07,57
2018-08,54
2018-09,61
2018-10,52
2018-11,43
2018-12,47
2019-01,43
2019-02,35
2019-03,33
2019-04,36
2019-05,42
2019-06,26
2019-07,32
2019-08,30
2019-09,39
2019-10,30
2019-11,25
2019-12,23
2020-01,84
2020-02,26
2020-03,22
2020-04,25
2020-05,20
2020-06,18
2020-07,28
2020-08,19
2020-09,37
2020-10,30
2020-11,20
2020-12,19
2021-01,20
2021-02,23
2021-03,20
2021-04,17
2021-05,16
2021-06,13
2021-07,10
2021-08,14
2021-09,25
2021-10,23
2021-11,15
2021-12,14
2022-01,23
2022-02,27
2022-03,24
2022-04,33
2022-05,25
2022-06,17
2022-07,15
2022-08,21
2022-09,35
2022-10,30
2022-11,23
2022-12,19
2023-01,30
2023-02,30
2023-03,25
2023-04,26
2023-05,21
2023-06,16
2023-07,11
2023-08,22
2023-09,38
2023-10,31
