Month,waifu: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,4
2004-05,0
2004-06,0
2004-07,0
2004-08,3
2004-09,2
2004-10,0
2004-11,0
2004-12,0
2005-01,3
2005-02,3
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,1
2005-09,2
2005-10,1
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,1
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,<1
2007-06,0
2007-07,0
2007-08,1
2007-09,0
2007-10,<1
2007-11,0
2007-12,1
2008-01,0
2008-02,1
2008-03,1
2008-04,1
2008-05,0
2008-06,2
2008-07,0
2008-08,1
2008-09,0
2008-10,2
2008-11,1
2008-12,1
2009-01,1
2009-02,1
2009-03,1
2009-04,1
2009-05,1
2009-06,1
2009-07,1
2009-08,1
2009-09,1
2009-10,2
2009-11,1
2009-12,1
2010-01,2
2010-02,2
2010-03,2
2010-04,2
2010-05,2
2010-06,2
2010-07,2
2010-08,3
2010-09,2
2010-10,2
2010-11,2
2010-12,2
2011-01,3
2011-02,3
2011-03,3
2011-04,2
2011-05,3
2011-06,5
2011-07,5
2011-08,5
2011-09,4
2011-10,4
2011-11,4
2011-12,5
2012-01,5
2012-02,6
2012-03,6
2012-04,6
2012-05,6
2012-06,6
2012-07,7
2012-08,10
2012-09,6
2012-10,7
2012-11,7
2012-12,8
2013-01,10
2013-02,10
2013-03,9
2013-04,9
2013-05,10
2013-06,9
2013-07,11
2013-08,13
2013-09,11
2013-10,13
2013-11,12
2013-12,13
2014-01,16
2014-02,16
2014-03,15
2014-04,16
2014-05,25
2014-06,23
2014-07,21
2014-08,22
2014-09,19
2014-10,19
2014-11,19
2014-12,21
2015-01,24
2015-02,23
2015-03,21
2015-04,24
2015-05,25
2015-06,26
2015-07,29
2015-08,28
2015-09,24
2015-10,21
2015-11,26
2015-12,30
2016-01,25
2016-02,27
2016-03,26
2016-04,24
2016-05,26
2016-06,30
2016-07,27
2016-08,24
2016-09,22
2016-10,21
2016-11,21
2016-12,27
2017-01,26
2017-02,28
2017-03,25
2017-04,29
2017-05,30
2017-06,32
2017-07,30
2017-08,27
2017-09,23
2017-10,26
2017-11,26
2017-12,29
2018-01,42
2018-02,37
2018-03,34
2018-04,30
2018-05,32
2018-06,33
2018-07,33
2018-08,31
2018-09,33
2018-10,28
2018-11,31
2018-12,28
2019-01,29
2019-02,32
2019-03,35
2019-04,32
2019-05,31
2019-06,38
2019-07,35
2019-08,34
2019-09,36
2019-10,37
2019-11,34
2019-12,37
2020-01,38
2020-02,42
2020-03,37
2020-04,54
2020-05,100
2020-06,56
2020-07,55
2020-08,54
2020-09,53
2020-10,53
2020-11,55
2020-12,58
2021-01,57
2021-02,60
2021-03,60
2021-04,52
2021-05,56
2021-06,64
2021-07,58
2021-08,54
2021-09,47
2021-10,46
2021-11,46
2021-12,50
2022-01,49
2022-02,45
2022-03,46
2022-04,47
2022-05,50
2022-06,45
2022-07,54
2022-08,47
2022-09,44
2022-10,50
2022-11,43
2022-12,48
2023-01,48
2023-02,47
2023-03,48
2023-04,46
2023-05,46
2023-06,50
2023-07,50
2023-08,43
2023-09,42
2023-10,41
