Month,flipping tables: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,100
2004-11,0
2004-12,0
2005-01,40
2005-02,0
2005-03,0
2005-04,29
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,13
2006-02,0
2006-03,9
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,10
2007-06,0
2007-07,0
2007-08,7
2007-09,0
2007-10,0
2007-11,7
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,14
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,9
2009-01,4
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,7
2009-07,0
2009-08,14
2009-09,0
2009-10,9
2009-11,5
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,6
2010-08,6
2010-09,0
2010-10,3
2010-11,4
2010-12,4
2011-01,0
2011-02,3
2011-03,2
2011-04,2
2011-05,7
2011-06,0
2011-07,28
2011-08,40
2011-09,57
2011-10,61
2011-11,49
2011-12,59
2012-01,44
2012-02,52
2012-03,51
2012-04,47
2012-05,33
2012-06,40
2012-07,36
2012-08,27
2012-09,25
2012-10,36
2012-11,23
2012-12,21
2013-01,23
2013-02,24
2013-03,28
2013-04,23
2013-05,21
2013-06,12
2013-07,12
2013-08,14
2013-09,13
2013-10,18
2013-11,11
2013-12,11
2014-01,15
2014-02,19
2014-03,19
2014-04,15
2014-05,16
2014-06,11
2014-07,10
2014-08,10
2014-09,10
2014-10,14
2014-11,12
2014-12,8
2015-01,10
2015-02,14
2015-03,13
2015-04,13
2015-05,9
2015-06,11
2015-07,7
2015-08,11
2015-09,9
2015-10,7
2015-11,6
2015-12,11
2016-01,6
2016-02,9
2016-03,7
2016-04,7
2016-05,7
2016-06,2
2016-07,7
2016-08,9
2016-09,7
2016-10,9
2016-11,11
2016-12,9
2017-01,10
2017-02,10
2017-03,12
2017-04,6
2017-05,6
2017-06,11
2017-07,5
2017-08,8
2017-09,8
2017-10,8
2017-11,7
2017-12,8
2018-01,9
2018-02,11
2018-03,11
2018-04,8
2018-05,8
2018-06,3
2018-07,8
2018-08,7
2018-09,6
2018-10,10
2018-11,7
2018-12,5
2019-01,5
2019-02,8
2019-03,11
2019-04,9
2019-05,8
2019-06,3
2019-07,8
2019-08,6
2019-09,7
2019-10,7
2019-11,3
2019-12,7
2020-01,5
2020-02,5
2020-03,7
2020-04,8
2020-05,12
2020-06,31
2020-07,9
2020-08,7
2020-09,14
2020-10,7
2020-11,7
2020-12,7
2021-01,8
2021-02,7
2021-03,12
2021-04,7
2021-05,6
2021-06,5
2021-07,7
2021-08,7
2021-09,14
2021-10,9
2021-11,8
2021-12,4
2022-01,6
2022-02,5
2022-03,7
2022-04,7
2022-05,8
2022-06,10
2022-07,6
2022-08,8
2022-09,8
2022-10,11
2022-11,9
2022-12,7
2023-01,8
2023-02,7
2023-03,8
2023-04,12
2023-05,9
2023-06,9
2023-07,8
2023-08,6
2023-09,19
2023-10,8
