Month,Slenderman: (United States)
2009-11,1
2009-12,1
2010-01,1
2010-02,1
2010-03,1
2010-04,1
2010-05,1
2010-06,1
2010-07,1
2010-08,1
2010-09,1
2010-10,2
2010-11,2
2010-12,2
2011-01,3
2011-02,3
2011-03,3
2011-04,4
2011-05,4
2011-06,3
2011-07,4
2011-08,6
2011-09,5
2011-10,5
2011-11,4
2011-12,4
2012-01,4
2012-02,4
2012-03,4
2012-04,4
2012-05,5
2012-06,5
2012-07,49
2012-08,91
2012-09,89
2012-10,93
2012-11,54
2012-12,37
2013-01,34
2013-02,34
2013-03,32
2013-04,29
2013-05,31
2013-06,26
2013-07,23
2013-08,20
2013-09,20
2013-10,26
2013-11,19
2013-12,16
2014-01,17
2014-02,16
2014-03,17
2014-04,16
2014-05,17
2014-06,100
2014-07,22
2014-08,18
2014-09,37
2014-10,24
2014-11,16
2014-12,13
2015-01,10
2015-02,21
2015-03,14
2015-04,12
2015-05,10
2015-06,9
2015-07,9
2015-08,13
2015-09,8
2015-10,12
2015-11,8
2015-12,8
2016-01,7
2016-02,7
2016-03,8
2016-04,7
2016-05,8
2016-06,7
2016-07,7
2016-08,7
2016-09,7
2016-10,8
2016-11,7
2016-12,6
2017-01,14
2017-02,11
2017-03,6
2017-04,6
2017-05,5
2017-06,5
2017-07,5
2017-08,6
2017-09,7
2017-10,8
2017-11,5
2017-12,6
2018-01,9
2018-02,14
2018-03,6
2018-04,7
2018-05,6
2018-06,5
2018-07,6
2018-08,66
2018-09,18
2018-10,14
2018-11,12
2018-12,7
2019-01,7
2019-02,6
2019-03,7
2019-04,5
2019-05,5
2019-06,5
2019-07,5
2019-08,4
2019-09,4
2019-10,11
2019-11,5
2019-12,4
2020-01,5
2020-02,4
2020-03,4
2020-04,4
2020-05,4
2020-06,4
2020-07,5
2020-08,4
2020-09,4
2020-10,5
2020-11,4
2020-12,4
2021-01,4
2021-02,5
2021-03,4
2021-04,4
2021-05,5
2021-06,4
2021-07,5
2021-08,4
2021-09,5
2021-10,5
2021-11,4
2021-12,3
2022-01,3
2022-02,4
2022-03,4
2022-04,4
2022-05,4
2022-06,4
2022-07,4
2022-08,3
2022-09,5
2022-10,5
2022-11,3
2022-12,3
2023-01,3
2023-02,3
2023-03,3
2023-04,3
2023-05,3
2023-06,3
2023-07,3
2023-08,3
2023-09,3
2023-10,3
