Month,lenny face: (United States)
2009-11,0
2009-12,<1
2010-01,<1
2010-02,<1
2010-03,<1
2010-04,<1
2010-05,0
2010-06,0
2010-07,<1
2010-08,1
2010-09,<1
2010-10,1
2010-11,<1
2010-12,1
2011-01,<1
2011-02,<1
2011-03,<1
2011-04,<1
2011-05,0
2011-06,0
2011-07,1
2011-08,<1
2011-09,0
2011-10,0
2011-11,<1
2011-12,<1
2012-01,<1
2012-02,<1
2012-03,<1
2012-04,<1
2012-05,0
2012-06,<1
2012-07,<1
2012-08,0
2012-09,<1
2012-10,<1
2012-11,6
2012-12,7
2013-01,5
2013-02,4
2013-03,4
2013-04,4
2013-05,5
2013-06,7
2013-07,7
2013-08,8
2013-09,7
2013-10,7
2013-11,7
2013-12,7
2014-01,7
2014-02,8
2014-03,8
2014-04,9
2014-05,13
2014-06,19
2014-07,24
2014-08,28
2014-09,29
2014-10,34
2014-11,36
2014-12,39
2015-01,47
2015-02,52
2015-03,57
2015-04,62
2015-05,74
2015-06,75
2015-07,82
2015-08,97
2015-09,91
2015-10,96
2015-11,100
2015-12,97
2016-01,82
2016-02,93
2016-03,95
2016-04,98
2016-05,91
2016-06,80
2016-07,75
2016-08,71
2016-09,76
2016-10,77
2016-11,79
2016-12,81
2017-01,82
2017-02,81
2017-03,85
2017-04,78
2017-05,76
2017-06,53
2017-07,50
2017-08,53
2017-09,63
2017-10,71
2017-11,69
2017-12,67
2018-01,61
2018-02,65
2018-03,66
2018-04,63
2018-05,65
2018-06,52
2018-07,39
2018-08,42
2018-09,60
2018-10,65
2018-11,61
2018-12,62
2019-01,57
2019-02,57
2019-03,58
2019-04,58
2019-05,61
2019-06,44
2019-07,33
2019-08,38
2019-09,63
2019-10,59
2019-11,56
2019-12,48
2020-01,48
2020-02,50
2020-03,47
2020-04,49
2020-05,52
2020-06,39
2020-07,33
2020-08,43
2020-09,66
2020-10,45
2020-11,31
2020-12,30
2021-01,27
2021-02,28
2021-03,23
2021-04,23
2021-05,20
2021-06,16
2021-07,13
2021-08,13
2021-09,14
2021-10,15
2021-11,13
2021-12,12
2022-01,14
2022-02,14
2022-03,14
2022-04,20
2022-05,19
2022-06,12
2022-07,10
2022-08,11
2022-09,14
2022-10,14
2022-11,11
2022-12,12
2023-01,11
2023-02,11
2023-03,11
2023-04,10
2023-05,10
2023-06,8
2023-07,7
2023-08,7
2023-09,9
2023-10,10
