Month,expanding brain: (United States)
2004-01,30
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,17
2004-07,0
2004-08,21
2004-09,0
2004-10,0
2004-11,19
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,8
2005-06,13
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,10
2006-03,0
2006-04,0
2006-05,0
2006-06,10
2006-07,10
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,5
2007-04,4
2007-05,0
2007-06,0
2007-07,4
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,5
2008-01,4
2008-02,0
2008-03,4
2008-04,0
2008-05,0
2008-06,6
2008-07,0
2008-08,7
2008-09,0
2008-10,8
2008-11,0
2008-12,5
2009-01,0
2009-02,3
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,5
2009-09,0
2009-10,0
2009-11,3
2009-12,0
2010-01,0
2010-02,3
2010-03,5
2010-04,4
2010-05,2
2010-06,0
2010-07,0
2010-08,3
2010-09,0
2010-10,2
2010-11,0
2010-12,0
2011-01,2
2011-02,2
2011-03,4
2011-04,0
2011-05,0
2011-06,0
2011-07,1
2011-08,3
2011-09,4
2011-10,2
2011-11,0
2011-12,3
2012-01,0
2012-02,2
2012-03,0
2012-04,1
2012-05,1
2012-06,2
2012-07,1
2012-08,2
2012-09,2
2012-10,2
2012-11,2
2012-12,3
2013-01,1
2013-02,2
2013-03,2
2013-04,2
2013-05,4
2013-06,2
2013-07,1
2013-08,1
2013-09,2
2013-10,2
2013-11,2
2013-12,0
2014-01,4
2014-02,2
2014-03,2
2014-04,1
2014-05,0
2014-06,3
2014-07,7
2014-08,0
2014-09,2
2014-10,3
2014-11,2
2014-12,2
2015-01,3
2015-02,2
2015-03,0
2015-04,4
2015-05,2
2015-06,2
2015-07,1
2015-08,0
2015-09,2
2015-10,0
2015-11,0
2015-12,1
2016-01,2
2016-02,0
2016-03,2
2016-04,2
2016-05,2
2016-06,0
2016-07,1
2016-08,4
2016-09,0
2016-10,1
2016-11,1
2016-12,0
2017-01,3
2017-02,32
2017-03,100
2017-04,69
2017-05,51
2017-06,30
2017-07,26
2017-08,21
2017-09,30
2017-10,35
2017-11,34
2017-12,41
2018-01,43
2018-02,40
2018-03,39
2018-04,48
2018-05,53
2018-06,31
2018-07,29
2018-08,33
2018-09,39
2018-10,35
2018-11,42
2018-12,36
2019-01,24
2019-02,25
2019-03,22
2019-04,27
2019-05,20
2019-06,11
2019-07,17
2019-08,16
2019-09,21
2019-10,23
2019-11,17
2019-12,16
2020-01,14
2020-02,13
2020-03,12
2020-04,10
2020-05,9
2020-06,8
2020-07,7
2020-08,6
2020-09,10
2020-10,9
2020-11,6
2020-12,4
2021-01,4
2021-02,3
2021-03,6
2021-04,9
2021-05,6
2021-06,2
2021-07,3
2021-08,5
2021-09,6
2021-10,3
2021-11,5
2021-12,3
2022-01,5
2022-02,6
2022-03,5
2022-04,6
2022-05,5
2022-06,6
2022-07,4
2022-08,3
2022-09,5
2022-10,9
2022-11,5
2022-12,4
2023-01,9
2023-02,7
2023-03,5
2023-04,4
2023-05,6
2023-06,4
2023-07,4
2023-08,3
2023-09,6
2023-10,6
