Month,me gusta: (United States)
2004-01,7
2004-02,7
2004-03,8
2004-04,7
2004-05,6
2004-06,5
2004-07,6
2004-08,6
2004-09,9
2004-10,9
2004-11,9
2004-12,8
2005-01,7
2005-02,8
2005-03,10
2005-04,8
2005-05,9
2005-06,9
2005-07,7
2005-08,7
2005-09,10
2005-10,13
2005-11,10
2005-12,10
2006-01,8
2006-02,12
2006-03,9
2006-04,10
2006-05,10
2006-06,11
2006-07,8
2006-08,8
2006-09,10
2006-10,13
2006-11,9
2006-12,10
2007-01,11
2007-02,9
2007-03,9
2007-04,11
2007-05,10
2007-06,11
2007-07,7
2007-08,8
2007-09,13
2007-10,13
2007-11,10
2007-12,13
2008-01,13
2008-02,14
2008-03,14
2008-04,16
2008-05,17
2008-06,17
2008-07,20
2008-08,25
2008-09,28
2008-10,25
2008-11,25
2008-12,24
2009-01,24
2009-02,26
2009-03,25
2009-04,29
2009-05,29
2009-06,30
2009-07,32
2009-08,33
2009-09,38
2009-10,46
2009-11,52
2009-12,52
2010-01,49
2010-02,53
2010-03,55
2010-04,57
2010-05,64
2010-06,54
2010-07,65
2010-08,66
2010-09,78
2010-10,95
2010-11,88
2010-12,90
2011-01,44
2011-02,46
2011-03,59
2011-04,70
2011-05,73
2011-06,71
2011-07,79
2011-08,76
2011-09,74
2011-10,87
2011-11,82
2011-12,90
2012-01,91
2012-02,97
2012-03,100
2012-04,91
2012-05,90
2012-06,85
2012-07,78
2012-08,79
2012-09,84
2012-10,81
2012-11,76
2012-12,78
2013-01,76
2013-02,73
2013-03,67
2013-04,68
2013-05,68
2013-06,62
2013-07,64
2013-08,55
2013-09,58
2013-10,62
2013-11,61
2013-12,53
2014-01,56
2014-02,50
2014-03,51
2014-04,52
2014-05,49
2014-06,47
2014-07,46
2014-08,48
2014-09,54
2014-10,60
2014-11,54
2014-12,52
2015-01,52
2015-02,55
2015-03,55
2015-04,47
2015-05,49
2015-06,47
2015-07,45
2015-08,48
2015-09,57
2015-10,55
2015-11,55
2015-12,47
2016-01,51
2016-02,44
2016-03,44
2016-04,47
2016-05,46
2016-06,41
2016-07,42
2016-08,39
2016-09,51
2016-10,48
2016-11,45
2016-12,41
2017-01,44
2017-02,46
2017-03,36
2017-04,41
2017-05,42
2017-06,41
2017-07,39
2017-08,36
2017-09,49
2017-10,49
2017-11,45
2017-12,42
2018-01,44
2018-02,48
2018-03,43
2018-04,38
2018-05,39
2018-06,37
2018-07,39
2018-08,39
2018-09,47
2018-10,46
2018-11,42
2018-12,44
2019-01,43
2019-02,46
2019-03,43
2019-04,43
2019-05,45
2019-06,39
2019-07,37
2019-08,38
2019-09,50
2019-10,45
2019-11,42
2019-12,38
2020-01,42
2020-02,44
2020-03,41
2020-04,44
2020-05,42
2020-06,37
2020-07,33
2020-08,41
2020-09,57
2020-10,46
2020-11,40
2020-12,42
2021-01,42
2021-02,44
2021-03,41
2021-04,41
2021-05,43
2021-06,41
2021-07,35
2021-08,36
2021-09,42
2021-10,43
2021-11,47
2021-12,40
2022-01,39
2022-02,45
2022-03,39
2022-04,44
2022-05,43
2022-06,42
2022-07,37
2022-08,40
2022-09,45
2022-10,45
2022-11,46
2022-12,44
2023-01,45
2023-02,49
2023-03,46
2023-04,46
2023-05,46
2023-06,43
2023-07,44
2023-08,42
2023-09,53
2023-10,55
