Month,look of disapproval: (United States)
2004-01,57
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,7
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,21
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,4
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,3
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,3
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,3
2008-02,0
2008-03,0
2008-04,3
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,2
2009-03,0
2009-04,2
2009-05,4
2009-06,6
2009-07,11
2009-08,6
2009-09,6
2009-10,14
2009-11,11
2009-12,12
2010-01,24
2010-02,16
2010-03,20
2010-04,27
2010-05,32
2010-06,55
2010-07,32
2010-08,39
2010-09,50
2010-10,50
2010-11,57
2010-12,61
2011-01,59
2011-02,71
2011-03,55
2011-04,64
2011-05,66
2011-06,80
2011-07,82
2011-08,89
2011-09,97
2011-10,88
2011-11,86
2011-12,97
2012-01,97
2012-02,100
2012-03,96
2012-04,94
2012-05,71
2012-06,67
2012-07,71
2012-08,72
2012-09,65
2012-10,64
2012-11,56
2012-12,54
2013-01,50
2013-02,42
2013-03,38
2013-04,46
2013-05,41
2013-06,42
2013-07,44
2013-08,38
2013-09,36
2013-10,30
2013-11,33
2013-12,30
2014-01,25
2014-02,32
2014-03,26
2014-04,28
2014-05,25
2014-06,28
2014-07,31
2014-08,26
2014-09,23
2014-10,21
2014-11,22
2014-12,25
2015-01,21
2015-02,19
2015-03,20
2015-04,20
2015-05,23
2015-06,21
2015-07,22
2015-08,20
2015-09,16
2015-10,18
2015-11,19
2015-12,17
2016-01,11
2016-02,11
2016-03,11
2016-04,12
2016-05,13
2016-06,13
2016-07,8
2016-08,10
2016-09,9
2016-10,11
2016-11,9
2016-12,8
2017-01,8
2017-02,9
2017-03,11
2017-04,7
2017-05,9
2017-06,6
2017-07,5
2017-08,7
2017-09,8
2017-10,7
2017-11,5
2017-12,6
2018-01,6
2018-02,6
2018-03,6
2018-04,5
2018-05,7
2018-06,6
2018-07,7
2018-08,5
2018-09,5
2018-10,5
2018-11,4
2018-12,5
2019-01,3
2019-02,5
2019-03,4
2019-04,3
2019-05,5
2019-06,2
2019-07,4
2019-08,4
2019-09,3
2019-10,4
2019-11,2
2019-12,4
2020-01,3
2020-02,4
2020-03,4
2020-04,4
2020-05,4
2020-06,1
2020-07,3
2020-08,4
2020-09,3
2020-10,3
2020-11,1
2020-12,3
2021-01,1
2021-02,2
2021-03,2
2021-04,2
2021-05,4
2021-06,2
2021-07,2
2021-08,2
2021-09,1
2021-10,2
2021-11,2
2021-12,2
2022-01,2
2022-02,2
2022-03,2
2022-04,2
2022-05,2
2022-06,2
2022-07,3
2022-08,4
2022-09,3
2022-10,3
2022-11,2
2022-12,2
2023-01,3
2023-02,2
2023-03,4
2023-04,2
2023-05,2
2023-06,2
2023-07,2
2023-08,3
2023-09,2
2023-10,1
