Month,socially awkward penguin: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,8
2004-07,0
2004-08,0
2004-09,0
2004-10,23
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,7
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,4
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,2
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,2
2008-11,0
2008-12,0
2009-01,4
2009-02,0
2009-03,0
2009-04,0
2009-05,12
2009-06,14
2009-07,9
2009-08,15
2009-09,21
2009-10,15
2009-11,16
2009-12,17
2010-01,24
2010-02,19
2010-03,16
2010-04,17
2010-05,16
2010-06,18
2010-07,15
2010-08,18
2010-09,24
2010-10,14
2010-11,23
2010-12,34
2011-01,55
2011-02,57
2011-03,52
2011-04,54
2011-05,43
2011-06,41
2011-07,40
2011-08,51
2011-09,67
2011-10,79
2011-11,100
2011-12,92
2012-01,94
2012-02,89
2012-03,80
2012-04,81
2012-05,69
2012-06,66
2012-07,40
2012-08,44
2012-09,55
2012-10,43
2012-11,51
2012-12,41
2013-01,33
2013-02,38
2013-03,29
2013-04,29
2013-05,24
2013-06,17
2013-07,21
2013-08,17
2013-09,16
2013-10,17
2013-11,14
2013-12,15
2014-01,12
2014-02,12
2014-03,11
2014-04,11
2014-05,13
2014-06,7
2014-07,10
2014-08,7
2014-09,7
2014-10,9
2014-11,7
2014-12,7
2015-01,8
2015-02,6
2015-03,6
2015-04,7
2015-05,6
2015-06,5
2015-07,5
2015-08,5
2015-09,9
2015-10,4
2015-11,5
2015-12,4
2016-01,3
2016-02,5
2016-03,3
2016-04,3
2016-05,5
2016-06,3
2016-07,2
2016-08,3
2016-09,2
2016-10,4
2016-11,4
2016-12,3
2017-01,4
2017-02,4
2017-03,3
2017-04,2
2017-05,2
2017-06,1
2017-07,1
2017-08,2
2017-09,2
2017-10,1
2017-11,1
2017-12,2
2018-01,3
2018-02,2
2018-03,1
2018-04,2
2018-05,2
2018-06,2
2018-07,2
2018-08,2
2018-09,1
2018-10,1
2018-11,0
2018-12,2
2019-01,<1
2019-02,1
2019-03,1
2019-04,2
2019-05,1
2019-06,1
2019-07,1
2019-08,1
2019-09,1
2019-10,1
2019-11,1
2019-12,2
2020-01,1
2020-02,0
2020-03,1
2020-04,1
2020-05,0
2020-06,1
2020-07,<1
2020-08,1
2020-09,1
2020-10,1
2020-11,<1
2020-12,0
2021-01,<1
2021-02,1
2021-03,0
2021-04,1
2021-05,1
2021-06,0
2021-07,<1
2021-08,1
2021-09,0
2021-10,0
2021-11,<1
2021-12,1
2022-01,0
2022-02,<1
2022-03,0
2022-04,1
2022-05,1
2022-06,1
2022-07,0
2022-08,<1
2022-09,0
2022-10,1
2022-11,<1
2022-12,<1
2023-01,1
2023-02,0
2023-03,0
2023-04,2
2023-05,<1
2023-06,1
2023-07,2
2023-08,1
2023-09,0
2023-10,0
