Month,bad luck brian: (United States)
2004-01,0
2004-02,0
2004-03,2
2004-04,2
2004-05,0
2004-06,7
2004-07,0
2004-08,0
2004-09,0
2004-10,2
2004-11,0
2004-12,0
2005-01,0
2005-02,1
2005-03,1
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,1
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,1
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,2
2007-08,1
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,<1
2008-07,0
2008-08,0
2008-09,0
2008-10,<1
2008-11,1
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,<1
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,<1
2009-10,<1
2009-11,0
2009-12,0
2010-01,0
2010-02,<1
2010-03,0
2010-04,0
2010-05,2
2010-06,0
2010-07,<1
2010-08,0
2010-09,<1
2010-10,0
2010-11,0
2010-12,<1
2011-01,0
2011-02,0
2011-03,<1
2011-04,0
2011-05,<1
2011-06,<1
2011-07,0
2011-08,0
2011-09,<1
2011-10,0
2011-11,0
2011-12,<1
2012-01,0
2012-02,<1
2012-03,12
2012-04,60
2012-05,74
2012-06,100
2012-07,83
2012-08,69
2012-09,79
2012-10,82
2012-11,73
2012-12,65
2013-01,65
2013-02,57
2013-03,48
2013-04,43
2013-05,34
2013-06,30
2013-07,25
2013-08,23
2013-09,22
2013-10,19
2013-11,15
2013-12,23
2014-01,18
2014-02,15
2014-03,16
2014-04,17
2014-05,15
2014-06,15
2014-07,14
2014-08,9
2014-09,10
2014-10,11
2014-11,11
2014-12,10
2015-01,14
2015-02,11
2015-03,13
2015-04,12
2015-05,10
2015-06,9
2015-07,9
2015-08,8
2015-09,10
2015-10,11
2015-11,10
2015-12,11
2016-01,10
2016-02,9
2016-03,8
2016-04,8
2016-05,9
2016-06,6
2016-07,6
2016-08,6
2016-09,7
2016-10,7
2016-11,7
2016-12,7
2017-01,6
2017-02,7
2017-03,6
2017-04,6
2017-05,6
2017-06,5
2017-07,4
2017-08,4
2017-09,5
2017-10,5
2017-11,5
2017-12,6
2018-01,5
2018-02,5
2018-03,4
2018-04,5
2018-05,4
2018-06,3
2018-07,3
2018-08,3
2018-09,5
2018-10,32
2018-11,6
2018-12,4
2019-01,4
2019-02,3
2019-03,4
2019-04,4
2019-05,4
2019-06,3
2019-07,2
2019-08,3
2019-09,3
2019-10,3
2019-11,3
2019-12,3
2020-01,2
2020-02,2
2020-03,3
2020-04,2
2020-05,2
2020-06,2
2020-07,1
2020-08,2
2020-09,2
2020-10,3
2020-11,3
2020-12,3
2021-01,2
2021-02,2
2021-03,2
2021-04,3
2021-05,2
2021-06,1
2021-07,2
2021-08,1
2021-09,1
2021-10,1
2021-11,2
2021-12,2
2022-01,2
2022-02,1
2022-03,1
2022-04,2
2022-05,1
2022-06,1
2022-07,1
2022-08,1
2022-09,1
2022-10,1
2022-11,1
2022-12,1
2023-01,1
2023-02,1
2023-03,1
2023-04,4
2023-05,3
2023-06,3
2023-07,2
2023-08,2
2023-09,2
2023-10,2
