Month,rules of the internet: (United States)
2004-01,13
2004-02,0
2004-03,21
2004-04,7
2004-05,11
2004-06,0
2004-07,26
2004-08,0
2004-09,0
2004-10,12
2004-11,0
2004-12,0
2005-01,19
2005-02,8
2005-03,11
2005-04,0
2005-05,0
2005-06,0
2005-07,6
2005-08,4
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,3
2006-02,5
2006-03,0
2006-04,0
2006-05,7
2006-06,6
2006-07,4
2006-08,3
2006-09,8
2006-10,0
2006-11,0
2006-12,10
2007-01,20
2007-02,4
2007-03,12
2007-04,16
2007-05,15
2007-06,32
2007-07,37
2007-08,33
2007-09,40
2007-10,40
2007-11,34
2007-12,44
2008-01,30
2008-02,49
2008-03,31
2008-04,44
2008-05,47
2008-06,42
2008-07,42
2008-08,42
2008-09,52
2008-10,43
2008-11,42
2008-12,49
2009-01,50
2009-02,53
2009-03,37
2009-04,41
2009-05,48
2009-06,44
2009-07,54
2009-08,48
2009-09,53
2009-10,57
2009-11,62
2009-12,50
2010-01,54
2010-02,71
2010-03,63
2010-04,66
2010-05,63
2010-06,67
2010-07,88
2010-08,63
2010-09,66
2010-10,67
2010-11,67
2010-12,59
2011-01,73
2011-02,100
2011-03,77
2011-04,83
2011-05,81
2011-06,84
2011-07,82
2011-08,94
2011-09,98
2011-10,78
2011-11,66
2011-12,58
2012-01,73
2012-02,66
2012-03,68
2012-04,65
2012-05,66
2012-06,64
2012-07,64
2012-08,62
2012-09,67
2012-10,55
2012-11,49
2012-12,60
2013-01,58
2013-02,52
2013-03,47
2013-04,43
2013-05,44
2013-06,45
2013-07,43
2013-08,40
2013-09,38
2013-10,39
2013-11,38
2013-12,36
2014-01,35
2014-02,33
2014-03,32
2014-04,35
2014-05,32
2014-06,33
2014-07,34
2014-08,29
2014-09,36
2014-10,34
2014-11,34
2014-12,30
2015-01,31
2015-02,32
2015-03,33
2015-04,29
2015-05,30
2015-06,26
2015-07,28
2015-08,26
2015-09,27
2015-10,25
2015-11,27
2015-12,25
2016-01,18
2016-02,21
2016-03,19
2016-04,16
2016-05,18
2016-06,39
2016-07,17
2016-08,15
2016-09,20
2016-10,19
2016-11,19
2016-12,17
2017-01,21
2017-02,23
2017-03,21
2017-04,20
2017-05,20
2017-06,14
2017-07,16
2017-08,14
2017-09,15
2017-10,21
2017-11,19
2017-12,20
2018-01,16
2018-02,16
2018-03,16
2018-04,16
2018-05,17
2018-06,14
2018-07,14
2018-08,14
2018-09,20
2018-10,21
2018-11,15
2018-12,14
2019-01,13
2019-02,14
2019-03,15
2019-04,19
2019-05,14
2019-06,11
2019-07,12
2019-08,9
2019-09,16
2019-10,16
2019-11,14
2019-12,17
2020-01,16
2020-02,17
2020-03,15
2020-04,17
2020-05,18
2020-06,14
2020-07,15
2020-08,13
2020-09,18
2020-10,19
2020-11,16
2020-12,15
2021-01,13
2021-02,15
2021-03,19
2021-04,17
2021-05,15
2021-06,14
2021-07,10
2021-08,10
2021-09,16
2021-10,15
2021-11,15
2021-12,12
2022-01,15
2022-02,24
2022-03,21
2022-04,24
2022-05,20
2022-06,14
2022-07,15
2022-08,14
2022-09,21
2022-10,24
2022-11,21
2022-12,20
2023-01,16
2023-02,22
2023-03,20
2023-04,24
2023-05,23
2023-06,19
2023-07,16
2023-08,17
2023-09,23
2023-10,23
