Month,based god: (United States)
2004-01,15
2004-02,0
2004-03,0
2004-04,6
2004-05,6
2004-06,4
2004-07,4
2004-08,0
2004-09,0
2004-10,12
2004-11,9
2004-12,3
2005-01,7
2005-02,3
2005-03,3
2005-04,3
2005-05,0
2005-06,4
2005-07,6
2005-08,3
2005-09,6
2005-10,2
2005-11,4
2005-12,4
2006-01,0
2006-02,0
2006-03,2
2006-04,13
2006-05,3
2006-06,0
2006-07,0
2006-08,4
2006-09,3
2006-10,2
2006-11,3
2006-12,0
2007-01,2
2007-02,0
2007-03,2
2007-04,3
2007-05,5
2007-06,3
2007-07,3
2007-08,4
2007-09,2
2007-10,3
2007-11,7
2007-12,4
2008-01,6
2008-02,6
2008-03,2
2008-04,4
2008-05,5
2008-06,2
2008-07,7
2008-08,4
2008-09,5
2008-10,10
2008-11,7
2008-12,4
2009-01,5
2009-02,4
2009-03,5
2009-04,6
2009-05,6
2009-06,5
2009-07,4
2009-08,4
2009-09,3
2009-10,6
2009-11,6
2009-12,9
2010-01,7
2010-02,9
2010-03,8
2010-04,11
2010-05,10
2010-06,16
2010-07,19
2010-08,17
2010-09,24
2010-10,25
2010-11,32
2010-12,33
2011-01,72
2011-02,67
2011-03,74
2011-04,73
2011-05,100
2011-06,78
2011-07,96
2011-08,88
2011-09,94
2011-10,83
2011-11,80
2011-12,73
2012-01,64
2012-02,70
2012-03,67
2012-04,71
2012-05,58
2012-06,49
2012-07,58
2012-08,74
2012-09,65
2012-10,56
2012-11,55
2012-12,53
2013-01,57
2013-02,54
2013-03,71
2013-04,56
2013-05,64
2013-06,52
2013-07,62
2013-08,57
2013-09,73
2013-10,58
2013-11,63
2013-12,57
2014-01,57
2014-02,58
2014-03,62
2014-04,59
2014-05,56
2014-06,46
2014-07,43
2014-08,40
2014-09,44
2014-10,40
2014-11,38
2014-12,36
2015-01,37
2015-02,34
2015-03,31
2015-04,29
2015-05,52
2015-06,38
2015-07,26
2015-08,28
2015-09,27
2015-10,30
2015-11,28
2015-12,24
2016-01,23
2016-02,23
2016-03,23
2016-04,23
2016-05,30
2016-06,28
2016-07,23
2016-08,14
2016-09,18
2016-10,19
2016-11,20
2016-12,18
2017-01,18
2017-02,18
2017-03,19
2017-04,20
2017-05,19
2017-06,18
2017-07,15
2017-08,16
2017-09,21
2017-10,24
2017-11,17
2017-12,17
2018-01,16
2018-02,16
2018-03,18
2018-04,23
2018-05,17
2018-06,16
2018-07,14
2018-08,16
2018-09,18
2018-10,18
2018-11,19
2018-12,18
2019-01,16
2019-02,20
2019-03,17
2019-04,16
2019-05,15
2019-06,13
2019-07,11
2019-08,13
2019-09,19
2019-10,17
2019-11,15
2019-12,19
2020-01,18
2020-02,18
2020-03,16
2020-04,21
2020-05,18
2020-06,16
2020-07,16
2020-08,18
2020-09,26
2020-10,24
2020-11,21
2020-12,20
2021-01,20
2021-02,22
2021-03,22
2021-04,20
2021-05,19
2021-06,18
2021-07,14
2021-08,17
2021-09,21
2021-10,17
2021-11,19
2021-12,17
2022-01,27
2022-02,30
2022-03,28
2022-04,30
2022-05,27
2022-06,25
2022-07,19
2022-08,23
2022-09,31
2022-10,30
2022-11,32
2022-12,28
2023-01,29
2023-02,34
2023-03,28
2023-04,32
2023-05,28
2023-06,26
2023-07,22
2023-08,27
2023-09,38
2023-10,42
