Month,wojak: (United States)
2004-01,0
2004-02,3
2004-03,0
2004-04,5
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,15
2004-10,0
2004-11,3
2004-12,0
2005-01,0
2005-02,8
2005-03,0
2005-04,7
2005-05,0
2005-06,0
2005-07,0
2005-08,3
2005-09,0
2005-10,6
2005-11,2
2005-12,2
2006-01,2
2006-02,1
2006-03,0
2006-04,2
2006-05,1
2006-06,4
2006-07,0
2006-08,0
2006-09,1
2006-10,2
2006-11,0
2006-12,0
2007-01,1
2007-02,2
2007-03,4
2007-04,1
2007-05,1
2007-06,0
2007-07,0
2007-08,1
2007-09,2
2007-10,1
2007-11,0
2007-12,0
2008-01,1
2008-02,0
2008-03,1
2008-04,0
2008-05,1
2008-06,2
2008-07,0
2008-08,0
2008-09,0
2008-10,2
2008-11,2
2008-12,3
2009-01,0
2009-02,0
2009-03,1
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,1
2009-10,1
2009-11,1
2009-12,1
2010-01,1
2010-02,1
2010-03,4
2010-04,1
2010-05,2
2010-06,0
2010-07,1
2010-08,1
2010-09,1
2010-10,2
2010-11,2
2010-12,1
2011-01,1
2011-02,1
2011-03,1
2011-04,1
2011-05,2
2011-06,0
2011-07,<1
2011-08,1
2011-09,1
2011-10,1
2011-11,1
2011-12,0
2012-01,1
2012-02,<1
2012-03,<1
2012-04,<1
2012-05,1
2012-06,1
2012-07,1
2012-08,0
2012-09,2
2012-10,<1
2012-11,1
2012-12,<1
2013-01,1
2013-02,<1
2013-03,1
2013-04,1
2013-05,1
2013-06,<1
2013-07,1
2013-08,1
2013-09,1
2013-10,<1
2013-11,<1
2013-12,<1
2014-01,1
2014-02,<1
2014-03,<1
2014-04,1
2014-05,1
2014-06,1
2014-07,<1
2014-08,1
2014-09,1
2014-10,1
2014-11,1
2014-12,2
2015-01,3
2015-02,1
2015-03,3
2015-04,4
2015-05,5
2015-06,6
2015-07,6
2015-08,6
2015-09,7
2015-10,6
2015-11,5
2015-12,5
2016-01,4
2016-02,5
2016-03,4
2016-04,4
2016-05,5
2016-06,3
2016-07,5
2016-08,4
2016-09,5
2016-10,6
2016-11,4
2016-12,5
2017-01,5
2017-02,6
2017-03,5
2017-04,5
2017-05,5
2017-06,4
2017-07,4
2017-08,6
2017-09,4
2017-10,6
2017-11,7
2017-12,9
2018-01,11
2018-02,12
2018-03,9
2018-04,8
2018-05,10
2018-06,10
2018-07,10
2018-08,12
2018-09,14
2018-10,22
2018-11,15
2018-12,15
2019-01,14
2019-02,15
2019-03,16
2019-04,17
2019-05,17
2019-06,15
2019-07,16
2019-08,16
2019-09,17
2019-10,20
2019-11,22
2019-12,21
2020-01,31
2020-02,23
2020-03,31
2020-04,35
2020-05,36
2020-06,40
2020-07,49
2020-08,54
2020-09,53
2020-10,48
2020-11,53
2020-12,100
2021-01,99
2021-02,69
2021-03,61
2021-04,58
2021-05,60
2021-06,66
2021-07,95
2021-08,74
2021-09,63
2021-10,64
2021-11,60
2021-12,58
2022-01,68
2022-02,73
2022-03,76
2022-04,70
2022-05,67
2022-06,66
2022-07,58
2022-08,57
2022-09,56
2022-10,62
2022-11,61
2022-12,58
2023-01,58
2023-02,62
2023-03,60
2023-04,66
2023-05,70
2023-06,63
2023-07,63
2023-08,61
2023-09,62
2023-10,55
