Month,trololo song: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,44
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,33
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,16
2006-02,0
2006-03,0
2006-04,22
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,32
2006-12,0
2007-01,0
2007-02,0
2007-03,18
2007-04,0
2007-05,14
2007-06,0
2007-07,28
2007-08,0
2007-09,0
2007-10,0
2007-11,9
2007-12,48
2008-01,0
2008-02,11
2008-03,0
2008-04,0
2008-05,7
2008-06,0
2008-07,0
2008-08,15
2008-09,0
2008-10,16
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,8
2009-04,0
2009-05,0
2009-06,0
2009-07,8
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,46
2010-04,16
2010-05,15
2010-06,0
2010-07,17
2010-08,15
2010-09,15
2010-10,0
2010-11,13
2010-12,38
2011-01,8
2011-02,31
2011-03,29
2011-04,7
2011-05,20
2011-06,6
2011-07,27
2011-08,23
2011-09,46
2011-10,38
2011-11,23
2011-12,37
2012-01,37
2012-02,40
2012-03,46
2012-04,36
2012-05,43
2012-06,91
2012-07,45
2012-08,42
2012-09,41
2012-10,38
2012-11,31
2012-12,40
2013-01,45
2013-02,63
2013-03,100
2013-04,91
2013-05,86
2013-06,75
2013-07,64
2013-08,67
2013-09,51
2013-10,51
2013-11,44
2013-12,39
2014-01,54
2014-02,83
2014-03,44
2014-04,52
2014-05,66
2014-06,56
2014-07,51
2014-08,52
2014-09,49
2014-10,42
2014-11,46
2014-12,49
2015-01,39
2015-02,39
2015-03,41
2015-04,48
2015-05,54
2015-06,48
2015-07,41
2015-08,41
2015-09,40
2015-10,38
2015-11,25
2015-12,23
2016-01,28
2016-02,24
2016-03,26
2016-04,34
2016-05,25
2016-06,18
2016-07,20
2016-08,25
2016-09,25
2016-10,18
2016-11,23
2016-12,29
2017-01,14
2017-02,20
2017-03,17
2017-04,24
2017-05,27
2017-06,18
2017-07,14
2017-08,6
2017-09,88
2017-10,23
2017-11,24
2017-12,22
2018-01,13
2018-02,12
2018-03,9
2018-04,22
2018-05,12
2018-06,15
2018-07,14
2018-08,16
2018-09,18
2018-10,17
2018-11,13
2018-12,11
2019-01,12
2019-02,9
2019-03,11
2019-04,5
2019-05,13
2019-06,10
2019-07,16
2019-08,14
2019-09,19
2019-10,15
2019-11,15
2019-12,17
2020-01,17
2020-02,12
2020-03,10
2020-04,17
2020-05,12
2020-06,9
2020-07,14
2020-08,7
2020-09,8
2020-10,10
2020-11,10
2020-12,6
2021-01,13
2021-02,10
2021-03,14
2021-04,10
2021-05,9
2021-06,9
2021-07,10
2021-08,11
2021-09,17
2021-10,8
2021-11,9
2021-12,9
2022-01,10
2022-02,7
2022-03,15
2022-04,13
2022-05,8
2022-06,6
2022-07,8
2022-08,6
2022-09,8
2022-10,5
2022-11,11
2022-12,6
2023-01,10
2023-02,7
2023-03,5
2023-04,7
2023-05,6
2023-06,8
2023-07,6
2023-08,6
2023-09,10
2023-10,9
