Month,charlie bit me: (United States)
2004-01,0
2004-02,5
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,5
2004-09,0
2004-10,0
2004-11,0
2004-12,2
2005-01,0
2005-02,0
2005-03,4
2005-04,0
2005-05,0
2005-06,2
2005-07,0
2005-08,0
2005-09,2
2005-10,2
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,1
2006-07,0
2006-08,2
2006-09,1
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,2
2007-03,0
2007-04,0
2007-05,0
2007-06,2
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,3
2007-12,23
2008-01,54
2008-02,67
2008-03,100
2008-04,91
2008-05,95
2008-06,70
2008-07,50
2008-08,42
2008-09,41
2008-10,40
2008-11,49
2008-12,59
2009-01,44
2009-02,42
2009-03,43
2009-04,32
2009-05,34
2009-06,33
2009-07,33
2009-08,27
2009-09,30
2009-10,33
2009-11,65
2009-12,74
2010-01,53
2010-02,43
2010-03,34
2010-04,37
2010-05,43
2010-06,37
2010-07,34
2010-08,30
2010-09,29
2010-10,24
2010-11,22
2010-12,26
2011-01,31
2011-02,31
2011-03,29
2011-04,29
2011-05,27
2011-06,31
2011-07,28
2011-08,23
2011-09,16
2011-10,21
2011-11,26
2011-12,27
2012-01,24
2012-02,22
2012-03,21
2012-04,18
2012-05,17
2012-06,13
2012-07,13
2012-08,12
2012-09,10
2012-10,13
2012-11,14
2012-12,12
2013-01,11
2013-02,12
2013-03,9
2013-04,8
2013-05,10
2013-06,8
2013-07,7
2013-08,9
2013-09,9
2013-10,11
2013-11,12
2013-12,11
2014-01,9
2014-02,8
2014-03,17
2014-04,7
2014-05,8
2014-06,9
2014-07,9
2014-08,7
2014-09,5
2014-10,6
2014-11,8
2014-12,6
2015-01,6
2015-02,6
2015-03,8
2015-04,9
2015-05,10
2015-06,10
2015-07,7
2015-08,6
2015-09,6
2015-10,6
2015-11,7
2015-12,8
2016-01,5
2016-02,4
2016-03,4
2016-04,4
2016-05,5
2016-06,9
2016-07,9
2016-08,5
2016-09,4
2016-10,5
2016-11,6
2016-12,6
2017-01,7
2017-02,6
2017-03,6
2017-04,6
2017-05,6
2017-06,5
2017-07,6
2017-08,5
2017-09,5
2017-10,4
2017-11,4
2017-12,3
2018-01,3
2018-02,3
2018-03,3
2018-04,4
2018-05,3
2018-06,4
2018-07,3
2018-08,3
2018-09,3
2018-10,4
2018-11,3
2018-12,3
2019-01,3
2019-02,4
2019-03,3
2019-04,3
2019-05,3
2019-06,4
2019-07,3
2019-08,3
2019-09,2
2019-10,3
2019-11,2
2019-12,4
2020-01,3
2020-02,4
2020-03,3
2020-04,4
2020-05,3
2020-06,3
2020-07,3
2020-08,3
2020-09,2
2020-10,3
2020-11,3
2020-12,4
2021-01,3
2021-02,3
2021-03,3
2021-04,3
2021-05,10
2021-06,4
2021-07,3
2021-08,2
2021-09,2
2021-10,2
2021-11,3
2021-12,3
2022-01,3
2022-02,3
2022-03,2
2022-04,3
2022-05,3
2022-06,3
2022-07,3
2022-08,3
2022-09,4
2022-10,3
2022-11,3
2022-12,3
2023-01,4
2023-02,3
2023-03,3
2023-04,2
2023-05,2
2023-06,2
2023-07,2
2023-08,2
2023-09,3
2023-10,2
