Month,xzibit yo dawg: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,35
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,45
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,12
2007-07,0
2007-08,22
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,9
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,24
2008-12,75
2009-01,100
2009-02,66
2009-03,59
2009-04,42
2009-05,37
2009-06,27
2009-07,24
2009-08,34
2009-09,42
2009-10,35
2009-11,16
2009-12,21
2010-01,23
2010-02,16
2010-03,9
2010-04,8
2010-05,24
2010-06,10
2010-07,26
2010-08,6
2010-09,7
2010-10,17
2010-11,20
2010-12,16
2011-01,9
2011-02,13
2011-03,21
2011-04,11
2011-05,7
2011-06,13
2011-07,13
2011-08,18
2011-09,41
2011-10,25
2011-11,20
2011-12,16
2012-01,3
2012-02,35
2012-03,28
2012-04,17
2012-05,12
2012-06,8
2012-07,20
2012-08,14
2012-09,9
2012-10,7
2012-11,9
2012-12,7
2013-01,2
2013-02,10
2013-03,7
2013-04,5
2013-05,8
2013-06,4
2013-07,9
2013-08,6
2013-09,4
2013-10,7
2013-11,5
2013-12,10
2014-01,6
2014-02,4
2014-03,0
2014-04,6
2014-05,4
2014-06,0
2014-07,6
2014-08,8
2014-09,6
2014-10,5
2014-11,3
2014-12,9
2015-01,3
2015-02,5
2015-03,4
2015-04,11
2015-05,0
2015-06,0
2015-07,8
2015-08,4
2015-09,5
2015-10,2
2015-11,3
2015-12,4
2016-01,6
2016-02,4
2016-03,5
2016-04,4
2016-05,3
2016-06,0
2016-07,0
2016-08,2
2016-09,2
2016-10,5
2016-11,2
2016-12,0
2017-01,1
2017-02,6
2017-03,5
2017-04,2
2017-05,4
2017-06,0
2017-07,2
2017-08,2
2017-09,0
2017-10,2
2017-11,4
2017-12,1
2018-01,2
2018-02,4
2018-03,3
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,2
2018-09,2
2018-10,2
2018-11,0
2018-12,0
2019-01,3
2019-02,4
2019-03,0
2019-04,2
2019-05,0
2019-06,0
2019-07,0
2019-08,6
2019-09,3
2019-10,0
2019-11,4
2019-12,2
2020-01,0
2020-02,0
2020-03,0
2020-04,0
2020-05,0
2020-06,0
2020-07,3
2020-08,2
2020-09,2
2020-10,0
2020-11,2
2020-12,2
2021-01,2
2021-02,3
2021-03,2
2021-04,0
2021-05,0
2021-06,0
2021-07,1
2021-08,7
2021-09,2
2021-10,0
2021-11,6
2021-12,3
2022-01,0
2022-02,1
2022-03,1
2022-04,1
2022-05,2
2022-06,6
2022-07,2
2022-08,3
2022-09,1
2022-10,0
2022-11,0
2022-12,0
2023-01,2
2023-02,2
2023-03,4
2023-04,1
2023-05,0
2023-06,0
2023-07,6
2023-08,0
2023-09,0
2023-10,0
