Month,dolan: (United States)
2004-01,19
2004-02,18
2004-03,19
2004-04,17
2004-05,18
2004-06,19
2004-07,14
2004-08,18
2004-09,16
2004-10,15
2004-11,17
2004-12,16
2005-01,17
2005-02,17
2005-03,19
2005-04,19
2005-05,19
2005-06,18
2005-07,16
2005-08,16
2005-09,16
2005-10,17
2005-11,16
2005-12,17
2006-01,16
2006-02,16
2006-03,16
2006-04,16
2006-05,18
2006-06,20
2006-07,15
2006-08,15
2006-09,15
2006-10,16
2006-11,13
2006-12,14
2007-01,14
2007-02,13
2007-03,15
2007-04,14
2007-05,14
2007-06,14
2007-07,14
2007-08,15
2007-09,13
2007-10,17
2007-11,14
2007-12,16
2008-01,14
2008-02,13
2008-03,14
2008-04,13
2008-05,15
2008-06,14
2008-07,14
2008-08,12
2008-09,12
2008-10,12
2008-11,12
2008-12,12
2009-01,12
2009-02,17
2009-03,14
2009-04,18
2009-05,12
2009-06,13
2009-07,13
2009-08,13
2009-09,12
2009-10,12
2009-11,15
2009-12,12
2010-01,14
2010-02,12
2010-03,14
2010-04,13
2010-05,13
2010-06,14
2010-07,13
2010-08,14
2010-09,12
2010-10,14
2010-11,14
2010-12,11
2011-01,14
2011-02,16
2011-03,15
2011-04,13
2011-05,13
2011-06,16
2011-07,13
2011-08,14
2011-09,13
2011-10,13
2011-11,12
2011-12,13
2012-01,17
2012-02,22
2012-03,24
2012-04,51
2012-05,32
2012-06,27
2012-07,31
2012-08,28
2012-09,28
2012-10,22
2012-11,21
2012-12,19
2013-01,19
2013-02,25
2013-03,30
2013-04,19
2013-05,18
2013-06,20
2013-07,20
2013-08,17
2013-09,18
2013-10,17
2013-11,19
2013-12,18
2014-01,16
2014-02,18
2014-03,24
2014-04,21
2014-05,18
2014-06,18
2014-07,17
2014-08,18
2014-09,19
2014-10,18
2014-11,17
2014-12,18
2015-01,20
2015-02,25
2015-03,22
2015-04,25
2015-05,25
2015-06,29
2015-07,37
2015-08,35
2015-09,33
2015-10,37
2015-11,33
2015-12,39
2016-01,34
2016-02,39
2016-03,37
2016-04,41
2016-05,39
2016-06,46
2016-07,51
2016-08,48
2016-09,37
2016-10,41
2016-11,37
2016-12,43
2017-01,47
2017-02,76
2017-03,50
2017-04,47
2017-05,50
2017-06,60
2017-07,76
2017-08,69
2017-09,52
2017-10,44
2017-11,55
2017-12,55
2018-01,57
2018-02,47
2018-03,46
2018-04,42
2018-05,42
2018-06,58
2018-07,65
2018-08,72
2018-09,54
2018-10,51
2018-11,73
2018-12,84
2019-01,100
2019-02,62
2019-03,61
2019-04,53
2019-05,51
2019-06,46
2019-07,49
2019-08,38
2019-09,37
2019-10,36
2019-11,26
2019-12,29
2020-01,23
2020-02,32
2020-03,39
2020-04,32
2020-05,31
2020-06,30
2020-07,33
2020-08,35
2020-09,33
2020-10,20
2020-11,16
2020-12,17
2021-01,14
2021-02,13
2021-03,15
2021-04,16
2021-05,17
2021-06,14
2021-07,14
2021-08,14
2021-09,14
2021-10,13
2021-11,13
2021-12,14
2022-01,15
2022-02,16
2022-03,54
2022-04,30
2022-05,17
2022-06,15
2022-07,16
2022-08,16
2022-09,14
2022-10,14
2022-11,14
2022-12,15
2023-01,17
2023-02,15
2023-03,14
2023-04,15
2023-05,14
2023-06,14
2023-07,17
2023-08,16
2023-09,14
2023-10,17
