Month,meatspin: (United States)
2004-01,6
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,7
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,4
2005-07,0
2005-08,6
2005-09,14
2005-10,38
2005-11,22
2005-12,51
2006-01,58
2006-02,46
2006-03,49
2006-04,40
2006-05,43
2006-06,49
2006-07,44
2006-08,40
2006-09,49
2006-10,58
2006-11,53
2006-12,64
2007-01,62
2007-02,71
2007-03,62
2007-04,61
2007-05,61
2007-06,65
2007-07,61
2007-08,60
2007-09,58
2007-10,73
2007-11,84
2007-12,80
2008-01,63
2008-02,57
2008-03,63
2008-04,60
2008-05,66
2008-06,58
2008-07,60
2008-08,56
2008-09,61
2008-10,66
2008-11,58
2008-12,65
2009-01,60
2009-02,71
2009-03,72
2009-04,59
2009-05,53
2009-06,53
2009-07,50
2009-08,45
2009-09,40
2009-10,40
2009-11,45
2009-12,43
2010-01,44
2010-02,41
2010-03,39
2010-04,49
2010-05,56
2010-06,47
2010-07,40
2010-08,38
2010-09,37
2010-10,35
2010-11,34
2010-12,38
2011-01,46
2011-02,41
2011-03,51
2011-04,45
2011-05,43
2011-06,43
2011-07,43
2011-08,34
2011-09,48
2011-10,37
2011-11,43
2011-12,39
2012-01,40
2012-02,40
2012-03,43
2012-04,42
2012-05,38
2012-06,40
2012-07,32
2012-08,37
2012-09,35
2012-10,35
2012-11,34
2012-12,37
2013-01,33
2013-02,37
2013-03,56
2013-04,37
2013-05,37
2013-06,34
2013-07,31
2013-08,31
2013-09,29
2013-10,28
2013-11,31
2013-12,35
2014-01,31
2014-02,30
2014-03,30
2014-04,33
2014-05,33
2014-06,35
2014-07,27
2014-08,34
2014-09,28
2014-10,28
2014-11,26
2014-12,35
2015-01,29
2015-02,28
2015-03,29
2015-04,28
2015-05,25
2015-06,64
2015-07,25
2015-08,24
2015-09,25
2015-10,29
2015-11,28
2015-12,100
2016-01,67
2016-02,40
2016-03,31
2016-04,27
2016-05,25
2016-06,22
2016-07,21
2016-08,32
2016-09,25
2016-10,29
2016-11,24
2016-12,32
2017-01,28
2017-02,21
2017-03,16
2017-04,19
2017-05,16
2017-06,15
2017-07,17
2017-08,27
2017-09,12
2017-10,12
2017-11,16
2017-12,13
2018-01,11
2018-02,13
2018-03,13
2018-04,14
2018-05,17
2018-06,11
2018-07,15
2018-08,14
2018-09,10
2018-10,10
2018-11,10
2018-12,9
2019-01,9
2019-02,10
2019-03,12
2019-04,9
2019-05,9
2019-06,9
2019-07,7
2019-08,8
2019-09,11
2019-10,9
2019-11,6
2019-12,34
2020-01,13
2020-02,11
2020-03,12
2020-04,11
2020-05,12
2020-06,12
2020-07,12
2020-08,8
2020-09,8
2020-10,12
2020-11,17
2020-12,9
2021-01,8
2021-02,12
2021-03,12
2021-04,9
2021-05,18
2021-06,17
2021-07,10
2021-08,9
2021-09,7
2021-10,8
2021-11,8
2021-12,8
2022-01,6
2022-02,7
2022-03,11
2022-04,7
2022-05,6
2022-06,7
2022-07,6
2022-08,8
2022-09,5
2022-10,5
2022-11,6
2022-12,7
2023-01,6
2023-02,5
2023-03,7
2023-04,10
2023-05,10
2023-06,6
2023-07,6
2023-08,5
2023-09,7
2023-10,4
