Month,dat ass: (United States)
2004-01,18
2004-02,19
2004-03,15
2004-04,8
2004-05,7
2004-06,15
2004-07,10
2004-08,12
2004-09,10
2004-10,16
2004-11,14
2004-12,30
2005-01,17
2005-02,14
2005-03,13
2005-04,7
2005-05,7
2005-06,14
2005-07,16
2005-08,9
2005-09,12
2005-10,15
2005-11,11
2005-12,14
2006-01,21
2006-02,21
2006-03,14
2006-04,12
2006-05,13
2006-06,17
2006-07,12
2006-08,20
2006-09,15
2006-10,19
2006-11,15
2006-12,23
2007-01,21
2007-02,16
2007-03,17
2007-04,21
2007-05,23
2007-06,17
2007-07,27
2007-08,21
2007-09,22
2007-10,19
2007-11,22
2007-12,23
2008-01,20
2008-02,19
2008-03,20
2008-04,14
2008-05,20
2008-06,21
2008-07,21
2008-08,21
2008-09,18
2008-10,18
2008-11,17
2008-12,17
2009-01,16
2009-02,17
2009-03,35
2009-04,37
2009-05,38
2009-06,38
2009-07,35
2009-08,36
2009-09,26
2009-10,27
2009-11,28
2009-12,33
2010-01,30
2010-02,34
2010-03,35
2010-04,37
2010-05,41
2010-06,35
2010-07,43
2010-08,38
2010-09,43
2010-10,42
2010-11,43
2010-12,47
2011-01,52
2011-02,54
2011-03,50
2011-04,66
2011-05,67
2011-06,68
2011-07,69
2011-08,62
2011-09,63
2011-10,58
2011-11,66
2011-12,62
2012-01,60
2012-02,65
2012-03,77
2012-04,72
2012-05,83
2012-06,74
2012-07,75
2012-08,82
2012-09,87
2012-10,76
2012-11,79
2012-12,84
2013-01,80
2013-02,86
2013-03,82
2013-04,84
2013-05,87
2013-06,94
2013-07,100
2013-08,88
2013-09,87
2013-10,84
2013-11,84
2013-12,85
2014-01,84
2014-02,84
2014-03,81
2014-04,81
2014-05,79
2014-06,80
2014-07,75
2014-08,71
2014-09,65
2014-10,63
2014-11,60
2014-12,55
2015-01,52
2015-02,52
2015-03,53
2015-04,50
2015-05,50
2015-06,54
2015-07,49
2015-08,49
2015-09,49
2015-10,45
2015-11,41
2015-12,43
2016-01,36
2016-02,35
2016-03,35
2016-04,35
2016-05,36
2016-06,35
2016-07,35
2016-08,32
2016-09,25
2016-10,34
2016-11,33
2016-12,34
2017-01,38
2017-02,34
2017-03,28
2017-04,28
2017-05,27
2017-06,26
2017-07,26
2017-08,23
2017-09,23
2017-10,22
2017-11,21
2017-12,21
2018-01,20
2018-02,21
2018-03,20
2018-04,21
2018-05,21
2018-06,24
2018-07,22
2018-08,20
2018-09,18
2018-10,18
2018-11,18
2018-12,19
2019-01,17
2019-02,17
2019-03,18
2019-04,13
2019-05,16
2019-06,16
2019-07,15
2019-08,15
2019-09,14
2019-10,16
2019-11,14
2019-12,15
2020-01,17
2020-02,17
2020-03,15
2020-04,13
2020-05,14
2020-06,13
2020-07,13
2020-08,12
2020-09,11
2020-10,11
2020-11,13
2020-12,12
2021-01,10
2021-02,11
2021-03,11
2021-04,12
2021-05,13
2021-06,11
2021-07,11
2021-08,11
2021-09,10
2021-10,9
2021-11,10
2021-12,10
2022-01,10
2022-02,10
2022-03,8
2022-04,10
2022-05,9
2022-06,8
2022-07,8
2022-08,9
2022-09,7
2022-10,8
2022-11,7
2022-12,8
2023-01,8
2023-02,7
2023-03,8
2023-04,7
2023-05,9
2023-06,7
2023-07,9
2023-08,7
2023-09,8
2023-10,6
