Month,tree fiddy: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,18
2004-05,0
2004-06,62
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,17
2005-06,0
2005-07,0
2005-08,12
2005-09,0
2005-10,13
2005-11,15
2005-12,10
2006-01,9
2006-02,8
2006-03,0
2006-04,0
2006-05,0
2006-06,7
2006-07,6
2006-08,0
2006-09,7
2006-10,0
2006-11,7
2006-12,6
2007-01,5
2007-02,11
2007-03,5
2007-04,7
2007-05,10
2007-06,12
2007-07,0
2007-08,14
2007-09,0
2007-10,6
2007-11,5
2007-12,7
2008-01,12
2008-02,0
2008-03,12
2008-04,11
2008-05,0
2008-06,6
2008-07,4
2008-08,11
2008-09,5
2008-10,10
2008-11,15
2008-12,5
2009-01,0
2009-02,0
2009-03,5
2009-04,0
2009-05,7
2009-06,14
2009-07,9
2009-08,12
2009-09,8
2009-10,19
2009-11,13
2009-12,21
2010-01,20
2010-02,14
2010-03,14
2010-04,15
2010-05,14
2010-06,6
2010-07,7
2010-08,19
2010-09,13
2010-10,12
2010-11,9
2010-12,16
2011-01,13
2011-02,12
2011-03,14
2011-04,12
2011-05,21
2011-06,13
2011-07,13
2011-08,20
2011-09,17
2011-10,17
2011-11,18
2011-12,34
2012-01,25
2012-02,100
2012-03,59
2012-04,38
2012-05,31
2012-06,32
2012-07,53
2012-08,44
2012-09,56
2012-10,48
2012-11,49
2012-12,72
2013-01,38
2013-02,41
2013-03,55
2013-04,51
2013-05,52
2013-06,39
2013-07,55
2013-08,41
2013-09,43
2013-10,34
2013-11,21
2013-12,38
2014-01,49
2014-02,38
2014-03,39
2014-04,43
2014-05,49
2014-06,45
2014-07,44
2014-08,44
2014-09,45
2014-10,42
2014-11,36
2014-12,49
2015-01,89
2015-02,37
2015-03,44
2015-04,43
2015-05,48
2015-06,51
2015-07,40
2015-08,42
2015-09,63
2015-10,33
2015-11,35
2015-12,50
2016-01,28
2016-02,30
2016-03,29
2016-04,40
2016-05,29
2016-06,34
2016-07,84
2016-08,68
2016-09,59
2016-10,44
2016-11,37
2016-12,40
2017-01,44
2017-02,74
2017-03,66
2017-04,41
2017-05,73
2017-06,51
2017-07,46
2017-08,49
2017-09,42
2017-10,42
2017-11,37
2017-12,31
2018-01,36
2018-02,37
2018-03,42
2018-04,37
2018-05,38
2018-06,43
2018-07,28
2018-08,47
2018-09,34
2018-10,33
2018-11,27
2018-12,25
2019-01,27
2019-02,26
2019-03,29
2019-04,40
2019-05,27
2019-06,28
2019-07,23
2019-08,26
2019-09,36
2019-10,21
2019-11,29
2019-12,25
2020-01,24
2020-02,29
2020-03,29
2020-04,24
2020-05,23
2020-06,23
2020-07,26
2020-08,29
2020-09,25
2020-10,20
2020-11,19
2020-12,19
2021-01,24
2021-02,24
2021-03,21
2021-04,18
2021-05,15
2021-06,17
2021-07,18
2021-08,14
2021-09,14
2021-10,21
2021-11,17
2021-12,21
2022-01,17
2022-02,19
2022-03,15
2022-04,18
2022-05,16
2022-06,19
2022-07,21
2022-08,15
2022-09,20
2022-10,21
2022-11,19
2022-12,16
2023-01,19
2023-02,21
2023-03,19
2023-04,19
2023-05,19
2023-06,18
2023-07,18
2023-08,20
2023-09,16
2023-10,23
