Month,virgin vs chad: (United States)
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,9
2007-05,0
2007-06,0
2007-07,0
2007-08,14
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,13
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,13
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,5
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,7
2010-06,0
2010-07,0
2010-08,11
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,3
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,8
2012-01,0
2012-02,0
2012-03,4
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,4
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,5
2013-07,0
2013-08,0
2013-09,0
2013-10,2
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,2
2014-04,5
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,4
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,2
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,3
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,2
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,2
2017-01,0
2017-02,0
2017-03,2
2017-04,0
2017-05,0
2017-06,3
2017-07,10
2017-08,39
2017-09,33
2017-10,44
2017-11,64
2017-12,53
2018-01,44
2018-02,52
2018-03,48
2018-04,39
2018-05,47
2018-06,54
2018-07,56
2018-08,64
2018-09,60
2018-10,66
2018-11,52
2018-12,55
2019-01,68
2019-02,62
2019-03,57
2019-04,57
2019-05,67
2019-06,59
2019-07,64
2019-08,61
2019-09,76
2019-10,82
2019-11,68
2019-12,86
2020-01,75
2020-02,77
2020-03,77
2020-04,80
2020-05,85
2020-06,78
2020-07,100
2020-08,89
2020-09,90
2020-10,74
2020-11,77
2020-12,81
2021-01,77
2021-02,68
2021-03,74
2021-04,88
2021-05,71
2021-06,90
2021-07,69
2021-08,68
2021-09,67
2021-10,63
2021-11,58
2021-12,55
2022-01,54
2022-02,66
2022-03,57
2022-04,65
2022-05,58
2022-06,65
2022-07,46
2022-08,58
2022-09,51
2022-10,63
2022-11,57
2022-12,51
2023-01,58
2023-02,48
2023-03,46
2023-04,45
2023-05,50
2023-06,35
2023-07,42
2023-08,40
2023-09,41
2023-10,43
