Month,fry meme: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,14
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,16
2005-04,0
2005-05,0
2005-06,12
2005-07,0
2005-08,0
2005-09,12
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,10
2006-12,8
2007-01,18
2007-02,0
2007-03,9
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,5
2007-11,4
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,7
2008-05,0
2008-06,0
2008-07,0
2008-08,5
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,11
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,4
2010-04,4
2010-05,0
2010-06,4
2010-07,2
2010-08,2
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,3
2011-03,0
2011-04,3
2011-05,2
2011-06,15
2011-07,52
2011-08,40
2011-09,54
2011-10,58
2011-11,57
2011-12,50
2012-01,55
2012-02,74
2012-03,93
2012-04,100
2012-05,85
2012-06,94
2012-07,100
2012-08,88
2012-09,71
2012-10,70
2012-11,59
2012-12,68
2013-01,53
2013-02,59
2013-03,64
2013-04,67
2013-05,54
2013-06,46
2013-07,56
2013-08,52
2013-09,45
2013-10,43
2013-11,49
2013-12,49
2014-01,42
2014-02,37
2014-03,36
2014-04,49
2014-05,36
2014-06,36
2014-07,42
2014-08,40
2014-09,38
2014-10,40
2014-11,45
2014-12,46
2015-01,41
2015-02,44
2015-03,40
2015-04,45
2015-05,47
2015-06,44
2015-07,44
2015-08,42
2015-09,37
2015-10,31
2015-11,40
2015-12,34
2016-01,40
2016-02,37
2016-03,39
2016-04,38
2016-05,38
2016-06,41
2016-07,38
2016-08,38
2016-09,36
2016-10,36
2016-11,43
2016-12,39
2017-01,39
2017-02,44
2017-03,42
2017-04,38
2017-05,38
2017-06,40
2017-07,36
2017-08,38
2017-09,32
2017-10,33
2017-11,30
2017-12,30
2018-01,32
2018-02,39
2018-03,47
2018-04,40
2018-05,43
2018-06,43
2018-07,41
2018-08,40
2018-09,41
2018-10,43
2018-11,46
2018-12,38
2019-01,39
2019-02,33
2019-03,36
2019-04,40
2019-05,44
2019-06,36
2019-07,36
2019-08,32
2019-09,35
2019-10,29
2019-11,35
2019-12,34
2020-01,37
2020-02,38
2020-03,31
2020-04,33
2020-05,27
2020-06,27
2020-07,30
2020-08,31
2020-09,31
2020-10,32
2020-11,32
2020-12,24
2021-01,27
2021-02,28
2021-03,24
2021-04,24
2021-05,23
2021-06,20
2021-07,20
2021-08,19
2021-09,18
2021-10,20
2021-11,23
2021-12,20
2022-01,27
2022-02,24
2022-03,24
2022-04,24
2022-05,22
2022-06,21
2022-07,20
2022-08,22
2022-09,18
2022-10,19
2022-11,25
2022-12,21
2023-01,26
2023-02,25
2023-03,22
2023-04,23
2023-05,25
2023-06,14
2023-07,24
2023-08,17
2023-09,23
2023-10,20
