Month,success kid: (United States)
2004-01,30
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,26
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,8
2005-04,0
2005-05,7
2005-06,0
2005-07,5
2005-08,0
2005-09,9
2005-10,12
2005-11,4
2005-12,0
2006-01,5
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,12
2006-08,0
2006-09,4
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,3
2007-03,0
2007-04,2
2007-05,2
2007-06,4
2007-07,0
2007-08,0
2007-09,2
2007-10,0
2007-11,3
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,2
2008-05,3
2008-06,0
2008-07,3
2008-08,0
2008-09,2
2008-10,0
2008-11,4
2008-12,4
2009-01,2
2009-02,0
2009-03,3
2009-04,2
2009-05,0
2009-06,4
2009-07,7
2009-08,6
2009-09,10
2009-10,8
2009-11,5
2009-12,6
2010-01,6
2010-02,8
2010-03,6
2010-04,7
2010-05,4
2010-06,6
2010-07,2
2010-08,5
2010-09,6
2010-10,4
2010-11,7
2010-12,16
2011-01,12
2011-02,14
2011-03,12
2011-04,9
2011-05,12
2011-06,10
2011-07,7
2011-08,10
2011-09,16
2011-10,29
2011-11,41
2011-12,61
2012-01,59
2012-02,100
2012-03,83
2012-04,68
2012-05,61
2012-06,47
2012-07,46
2012-08,55
2012-09,51
2012-10,49
2012-11,43
2012-12,38
2013-01,36
2013-02,48
2013-03,45
2013-04,44
2013-05,35
2013-06,31
2013-07,31
2013-08,32
2013-09,28
2013-10,30
2013-11,25
2013-12,23
2014-01,23
2014-02,22
2014-03,21
2014-04,24
2014-05,32
2014-06,22
2014-07,22
2014-08,21
2014-09,16
2014-10,19
2014-11,20
2014-12,17
2015-01,19
2015-02,22
2015-03,18
2015-04,71
2015-05,22
2015-06,22
2015-07,15
2015-08,18
2015-09,33
2015-10,23
2015-11,19
2015-12,20
2016-01,16
2016-02,18
2016-03,26
2016-04,14
2016-05,16
2016-06,15
2016-07,10
2016-08,18
2016-09,15
2016-10,16
2016-11,13
2016-12,16
2017-01,14
2017-02,15
2017-03,12
2017-04,11
2017-05,20
2017-06,12
2017-07,9
2017-08,12
2017-09,11
2017-10,10
2017-11,10
2017-12,11
2018-01,10
2018-02,9
2018-03,11
2018-04,11
2018-05,12
2018-06,9
2018-07,9
2018-08,10
2018-09,10
2018-10,11
2018-11,11
2018-12,11
2019-01,10
2019-02,10
2019-03,8
2019-04,10
2019-05,7
2019-06,8
2019-07,6
2019-08,8
2019-09,9
2019-10,9
2019-11,8
2019-12,7
2020-01,23
2020-02,11
2020-03,8
2020-04,6
2020-05,7
2020-06,8
2020-07,10
2020-08,8
2020-09,11
2020-10,8
2020-11,6
2020-12,6
2021-01,7
2021-02,7
2021-03,6
2021-04,8
2021-05,5
2021-06,5
2021-07,4
2021-08,5
2021-09,4
2021-10,3
2021-11,4
2021-12,5
2022-01,3
2022-02,6
2022-03,6
2022-04,9
2022-05,8
2022-06,8
2022-07,5
2022-08,7
2022-09,6
2022-10,5
2022-11,7
2022-12,6
2023-01,6
2023-02,9
2023-03,6
2023-04,7
2023-05,6
2023-06,6
2023-07,6
2023-08,6
2023-09,6
2023-10,5
