Month,derp: (United States)
2004-01,4
2004-02,0
2004-03,0
2004-04,6
2004-05,0
2004-06,0
2004-07,1
2004-08,1
2004-09,2
2004-10,4
2004-11,0
2004-12,7
2005-01,2
2005-02,2
2005-03,2
2005-04,3
2005-05,2
2005-06,2
2005-07,2
2005-08,3
2005-09,0
2005-10,2
2005-11,3
2005-12,2
2006-01,1
2006-02,2
2006-03,3
2006-04,1
2006-05,1
2006-06,3
2006-07,1
2006-08,1
2006-09,2
2006-10,1
2006-11,2
2006-12,1
2007-01,1
2007-02,2
2007-03,1
2007-04,2
2007-05,2
2007-06,2
2007-07,2
2007-08,2
2007-09,2
2007-10,2
2007-11,2
2007-12,1
2008-01,1
2008-02,1
2008-03,1
2008-04,1
2008-05,1
2008-06,2
2008-07,2
2008-08,1
2008-09,2
2008-10,2
2008-11,2
2008-12,3
2009-01,3
2009-02,4
2009-03,5
2009-04,4
2009-05,4
2009-06,4
2009-07,6
2009-08,7
2009-09,7
2009-10,8
2009-11,8
2009-12,12
2010-01,15
2010-02,20
2010-03,21
2010-04,24
2010-05,24
2010-06,28
2010-07,45
2010-08,48
2010-09,46
2010-10,54
2010-11,55
2010-12,53
2011-01,63
2011-02,66
2011-03,67
2011-04,71
2011-05,71
2011-06,67
2011-07,68
2011-08,68
2011-09,77
2011-10,83
2011-11,75
2011-12,81
2012-01,80
2012-02,87
2012-03,90
2012-04,90
2012-05,88
2012-06,92
2012-07,100
2012-08,89
2012-09,82
2012-10,75
2012-11,80
2012-12,87
2013-01,77
2013-02,80
2013-03,68
2013-04,70
2013-05,71
2013-06,68
2013-07,68
2013-08,69
2013-09,77
2013-10,69
2013-11,66
2013-12,82
2014-01,97
2014-02,74
2014-03,66
2014-04,69
2014-05,74
2014-06,80
2014-07,63
2014-08,71
2014-09,73
2014-10,69
2014-11,71
2014-12,70
2015-01,65
2015-02,72
2015-03,71
2015-04,70
2015-05,77
2015-06,68
2015-07,59
2015-08,55
2015-09,74
2015-10,74
2015-11,73
2015-12,69
2016-01,65
2016-02,55
2016-03,62
2016-04,64
2016-05,62
2016-06,56
2016-07,52
2016-08,52
2016-09,56
2016-10,56
2016-11,47
2016-12,56
2017-01,47
2017-02,53
2017-03,50
2017-04,44
2017-05,45
2017-06,36
2017-07,35
2017-08,34
2017-09,38
2017-10,42
2017-11,40
2017-12,35
2018-01,39
2018-02,37
2018-03,35
2018-04,33
2018-05,33
2018-06,25
2018-07,24
2018-08,25
2018-09,31
2018-10,30
2018-11,30
2018-12,29
2019-01,29
2019-02,26
2019-03,26
2019-04,25
2019-05,25
2019-06,20
2019-07,20
2019-08,20
2019-09,23
2019-10,22
2019-11,21
2019-12,19
2020-01,19
2020-02,18
2020-03,18
2020-04,19
2020-05,20
2020-06,19
2020-07,17
2020-08,19
2020-09,20
2020-10,16
2020-11,18
2020-12,17
2021-01,16
2021-02,17
2021-03,16
2021-04,16
2021-05,17
2021-06,16
2021-07,17
2021-08,16
2021-09,14
2021-10,13
2021-11,15
2021-12,13
2022-01,15
2022-02,15
2022-03,16
2022-04,16
2022-05,14
2022-06,16
2022-07,14
2022-08,14
2022-09,13
2022-10,13
2022-11,12
2022-12,13
2023-01,13
2023-02,14
2023-03,13
2023-04,11
2023-05,13
2023-06,13
2023-07,12
2023-08,11
2023-09,11
2023-10,13
