Month,lolcat: (United States)
2004-01,7
2004-02,2
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,3
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,2
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,1
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,3
2007-01,0
2007-02,1
2007-03,3
2007-04,10
2007-05,42
2007-06,69
2007-07,63
2007-08,76
2007-09,57
2007-10,72
2007-11,80
2007-12,81
2008-01,79
2008-02,87
2008-03,96
2008-04,100
2008-05,94
2008-06,78
2008-07,77
2008-08,84
2008-09,80
2008-10,90
2008-11,76
2008-12,79
2009-01,61
2009-02,68
2009-03,68
2009-04,65
2009-05,64
2009-06,60
2009-07,59
2009-08,55
2009-09,53
2009-10,60
2009-11,54
2009-12,53
2010-01,52
2010-02,49
2010-03,45
2010-04,51
2010-05,47
2010-06,40
2010-07,34
2010-08,35
2010-09,37
2010-10,35
2010-11,35
2010-12,33
2011-01,33
2011-02,37
2011-03,30
2011-04,32
2011-05,28
2011-06,26
2011-07,25
2011-08,26
2011-09,26
2011-10,27
2011-11,26
2011-12,27
2012-01,24
2012-02,27
2012-03,24
2012-04,26
2012-05,21
2012-06,21
2012-07,20
2012-08,19
2012-09,18
2012-10,16
2012-11,16
2012-12,15
2013-01,13
2013-02,14
2013-03,12
2013-04,11
2013-05,12
2013-06,10
2013-07,10
2013-08,9
2013-09,9
2013-10,9
2013-11,9
2013-12,10
2014-01,8
2014-02,9
2014-03,7
2014-04,8
2014-05,8
2014-06,8
2014-07,7
2014-08,6
2014-09,9
2014-10,7
2014-11,6
2014-12,7
2015-01,6
2015-02,6
2015-03,5
2015-04,7
2015-05,5
2015-06,5
2015-07,5
2015-08,4
2015-09,4
2015-10,4
2015-11,4
2015-12,4
2016-01,3
2016-02,3
2016-03,4
2016-04,3
2016-05,3
2016-06,3
2016-07,2
2016-08,3
2016-09,3
2016-10,2
2016-11,2
2016-12,2
2017-01,2
2017-02,2
2017-03,2
2017-04,2
2017-05,2
2017-06,1
2017-07,2
2017-08,2
2017-09,1
2017-10,2
2017-11,2
2017-12,1
2018-01,1
2018-02,2
2018-03,1
2018-04,1
2018-05,2
2018-06,1
2018-07,1
2018-08,2
2018-09,2
2018-10,2
2018-11,1
2018-12,1
2019-01,1
2019-02,1
2019-03,1
2019-04,1
2019-05,1
2019-06,1
2019-07,1
2019-08,1
2019-09,1
2019-10,1
2019-11,1
2019-12,1
2020-01,1
2020-02,1
2020-03,1
2020-04,1
2020-05,1
2020-06,1
2020-07,1
2020-08,1
2020-09,1
2020-10,1
2020-11,1
2020-12,1
2021-01,1
2021-02,1
2021-03,1
2021-04,1
2021-05,1
2021-06,<1
2021-07,1
2021-08,1
2021-09,1
2021-10,1
2021-11,1
2021-12,1
2022-01,1
2022-02,1
2022-03,1
2022-04,1
2022-05,1
2022-06,1
2022-07,1
2022-08,1
2022-09,1
2022-10,1
2022-11,1
2022-12,1
2023-01,1
2023-02,1
2023-03,1
2023-04,1
2023-05,2
2023-06,1
2023-07,2
2023-08,1
2023-09,1
2023-10,<1
